date,ticker,open,high,low,close,adj_close,volume,sector,is_benchmark,ret_5d,ret_10d,ret_20d,ret_60d,ma_20,ma_50,ma_20_prev,ma_50_prev,low_10,high_10,high_20,prior_high_20,atr_14,atr_pct,high_252,distance_from_52w_high,volume_ratio_20d,extension_vs_ma20,extension_vs_ma50,close_above_ma20,days_above_ma20_15,benchmark_close,benchmark_ma_20,benchmark_ma_50,benchmark_ret_5d,benchmark_ret_10d,benchmark_ret_20d,benchmark_ret_60d,qqq_close,qqq_ma_20,qqq_ma_50,qqq_ma_20_prev,rs_5d,rs_10d,rs_20d,rs_60d,ma_20_slope_5d,ma_50_slope_5d,spy_above_ma20,spy_above_ma50,qqq_above_ma20,qqq_above_ma50,qqq_ma20_slope_5d,sector_close,sector_ret_10d,sector_ret_20d,sector_ret_60d,sector_ma_20,sector_ma_50,stock_vs_sector_20d,stock_vs_sector_60d,sector_above_ma20,sector_above_ma50,trend_score,momentum_score,rs_score,proximity_score,risk_penalty,extension_penalty,refined_score,next_earnings_date,days_to_earnings,event_risk,strategy_id,strategy_name,basis_type,sleeve,action_label,horizon,entry_label,entry_value,stop_label,stop_value,target_label,target_value,strategy_rationale,observed_reason,action_rank
2026-06-26,AAPL,275.0,285.95001220703125,274.2099914550781,283.7799987792969,283.7799987792969,261693600.0,Information Technology,False,-0.047750110801712875,-0.04008390862833078,-0.0919330904244473,0.11816858933185803,298.2885009765625,291.49780029296875,303.39750213623046,288.74000061035156,273.75,302.4200134277344,317.3999938964844,317.3999938964844,9.218577793666295,0.03248494549764173,315.20001220703125,0.09968277985692756,3.9070764902457307,-0.04863916024173387,-0.026476362792155296,0,1.0,728.989990234375,743.6019989013672,734.3514001464844,-0.02376998718714518,-0.011887360950935899,-0.033938492154968136,0.12093667947703524,706.52001953125,724.7625030517578,702.7933996582032,726.8755004882812,-0.023980123614567694,-0.02819654767739488,-0.05799459826947917,-0.0027680901451772044,-0.016839298688009485,0.009551152167304844,0,0,0,1,-0.002906959218055949,181.11000061035156,-0.01146228932132165,-0.030719857134947293,0.3627540175164936,187.2410011291504,176.0450012207031,-0.06121323328950001,-0.24458542818463558,0.0,1.0,1,0,0,1,0,0,2,2026-07-30,34.0,Low,regime-filtered-out,No actionable setup,Decision basis,Single-name sleeve,No action,Wait this week,Stand aside,Regime filter,Reassess if,Tape improves,Need first,Stronger market,"The stock may be acceptable on its own, but the broader tape is not supportive enough for fresh long entries.",Market regime is too weak to justify a fresh long setup.,6
2026-06-26,ABBV,245.2599945068359,253.3500061035156,244.66000366210935,253.3500061035156,253.3500061035156,52626800.0,Health Care,False,0.17026190436082467,0.1271522057561143,0.15880711908373835,0.16488114260256714,225.96099929809571,214.78280059814452,220.0209991455078,211.76960052490233,215.3699951171875,253.3500061035156,253.3500061035156,244.61000061035156,6.665000915527344,0.0263074827509738,253.3500061035156,0.0,6.084550683585282,0.12121121295488403,0.17956375183658096,1,14.0,728.989990234375,743.6019989013672,734.3514001464844,-0.02376998718714518,-0.011887360950935899,-0.033938492154968136,0.12093667947703524,706.52001953125,724.7625030517578,702.7933996582032,726.8755004882812,0.19403189154796985,0.1390395667070502,0.19274561123870648,0.04394446312553191,0.026997423771626394,0.014228671470189802,0,0,0,1,-0.002906959218055949,160.33999633789062,0.040560712236600516,0.06269877484710862,0.09364978971679805,152.09099960327148,148.520400390625,0.09610834423662973,0.0712313528857691,1.0,1.0,3,2,2,1,0,1,7,2026-07-31,35.0,Low,regime-filtered-out,No actionable setup,Decision basis,Single-name sleeve,No action,Wait this week,Stand aside,Regime filter,Reassess if,Tape improves,Need first,Stronger market,"The stock may be acceptable on its own, but the broader tape is not supportive enough for fresh long entries.",Market regime is too weak to justify a fresh long setup.,6
2026-06-26,ABT,93.86000061035156,95.20999908447266,93.20999908447266,94.12000274658205,94.12000274658205,16464600.0,Health Care,False,0.06458544110342412,0.049860581646647306,0.09061412999179441,-0.08327647389546178,89.51749992370605,89.12580017089844,88.39850006103515,90.12800033569336,87.06999969482422,95.20999908447266,95.20999908447266,94.55999755859376,2.334284646170483,0.024801153612963023,136.6199951171875,0.31108178809515075,1.114792192676521,0.051414559463776474,0.056035430437732216,1,14.0,728.989990234375,743.6019989013672,734.3514001464844,-0.02376998718714518,-0.011887360950935899,-0.033938492154968136,0.12093667947703524,706.52001953125,724.7625030517578,702.7933996582032,726.8755004882812,0.0883554282905693,0.061747942597583205,0.12455262214676255,-0.204213153372497,0.012658584273469442,-0.011119742600103066,0,0,0,1,-0.002906959218055949,160.33999633789062,0.040560712236600516,0.06269877484710862,0.09364978971679805,152.09099960327148,148.520400390625,0.027915355144685794,-0.17692626361225983,1.0,1.0,3,2,2,0,0,0,7,2026-07-16,20.0,Low,regime-filtered-out,No actionable setup,Decision basis,Single-name sleeve,No action,Wait this week,Stand aside,Regime filter,Reassess if,Tape improves,Need first,Stronger market,"The stock may be acceptable on its own, but the broader tape is not supportive enough for fresh long entries.",Market regime is too weak to justify a fresh long setup.,6
2026-06-26,ACN,126.25,129.25,125.70999908447266,128.97999572753906,128.97999572753906,14147100.0,Information Technology,False,0.00781366107497683,-0.23006212728026754,-0.2770179364334564,-0.34953855416485546,160.56399955749512,171.67980026245118,173.21799964904784,177.80160018920898,118.1500015258789,172.58999633789062,198.0,198.0,8.039284297398158,0.062329698896723226,304.7799987792969,0.5768095142590426,1.3038771800064977,-0.19670663359781584,-0.2487176969546555,0,1.0,728.989990234375,743.6019989013672,734.3514001464844,-0.02376998718714518,-0.011887360950935899,-0.033938492154968136,0.12093667947703524,706.52001953125,724.7625030517578,702.7933996582032,726.8755004882812,0.03158364826212201,-0.21817476632933164,-0.24307944427848827,-0.4704752336418907,-0.0730524548094923,-0.0344305108629126,0,0,0,1,-0.002906959218055949,181.11000061035156,-0.01146228932132165,-0.030719857134947293,0.3627540175164936,187.2410011291504,176.0450012207031,-0.2462980792985091,-0.7122925716813491,0.0,1.0,0,1,0,0,1,0,0,2026-06-18,-8.0,Low,regime-filtered-out,No actionable setup,Decision basis,Single-name sleeve,No action,Wait this week,Stand aside,Regime filter,Reassess if,Tape improves,Need first,Stronger market,"The stock may be acceptable on its own, but the broader tape is not supportive enough for fresh long entries.",Market regime is too weak to justify a fresh long setup.,6
2026-06-26,ADBE,195.47999572753903,203.47999572753903,195.2899932861328,202.72999572753903,202.72999572753903,9148100.0,Information Technology,False,0.0387886448215895,-0.07344610191992262,-0.16032971472182422,-0.1659947581025596,224.53400039672852,237.84680084228515,235.73350143432617,241.6616012573242,190.1199951171875,211.9900054931641,275.44000244140625,275.44000244140625,9.681430271693625,0.04775529263417476,392.1000061035156,0.4829635486564678,1.0091676829386007,-0.09710780830815843,-0.1476446392820388,0,1.0,728.989990234375,743.6019989013672,734.3514001464844,-0.02376998718714518,-0.011887360950935899,-0.033938492154968136,0.12093667947703524,706.52001953125,724.7625030517578,702.7933996582032,726.8755004882812,0.06255863200873468,-0.061558740968986725,-0.1263912225668561,-0.28693143757959483,-0.047509161699351266,-0.015785711901234234,0,0,0,1,-0.002906959218055949,181.11000061035156,-0.01146228932132165,-0.030719857134947293,0.3627540175164936,187.2410011291504,176.0450012207031,-0.12960985758687693,-0.5287487756190532,0.0,1.0,0,1,0,0,0,0,1,2026-09-10,76.0,Low,regime-filtered-out,No actionable setup,Decision basis,Single-name sleeve,No action,Wait this week,Stand aside,Regime filter,Reassess if,Tape improves,Need first,Stronger market,"The stock may be acceptable on its own, but the broader tape is not supportive enough for fresh long entries.",Market regime is too weak to justify a fresh long setup.,6
2026-06-26,AMAT,642.760009765625,660.1900024414062,622.0,626.8400268554688,626.8400268554688,28127500.0,Information Technology,False,0.015767110782307414,0.1342646392593081,0.39396912707970877,0.8339916650111274,546.7975006103516,468.209599609375,501.9210006713867,445.6708001708984,544.0700073242188,669.219970703125,669.219970703125,669.219970703125,45.62285287039621,0.07278229040232545,668.0,0.06161672626426834,2.39340203027544,0.14638422113446267,0.3388021676156113,1,15.0,728.989990234375,743.6019989013672,734.3514001464844,-0.02376998718714518,-0.011887360950935899,-0.033938492154968136,0.12093667947703524,706.52001953125,724.7625030517578,702.7933996582032,726.8755004882812,0.039537097969452595,0.146152000210244,0.4279076192346769,0.7130549855340922,0.08940948850304431,0.050572753318893104,0,0,0,1,-0.002906959218055949,181.11000061035156,-0.01146228932132165,-0.030719857134947293,0.3627540175164936,187.2410011291504,176.0450012207031,0.42468898421465606,0.4712376474946338,0.0,1.0,3,2,2,1,1,1,6,2026-08-13,48.0,Low,regime-filtered-out,No actionable setup,Decision basis,Single-name sleeve,No action,Wait this week,Stand aside,Regime filter,Reassess if,Tape improves,Need first,Stronger market,"The stock may be acceptable on its own, but the broader tape is not supportive enough for fresh long entries.",Market regime is too weak to justify a fresh long setup.,6
2026-06-26,AMD,519.7999877929688,525.1099853515625,502.6099853515625,521.5800170898438,521.5800170898438,52661800.0,Information Technology,False,-0.02938381035565696,0.06782680735970614,0.0067362621426190206,1.5639288004159622,512.3949996948243,439.12060119628904,501.85750274658204,411.04720123291014,494.0,562.989990234375,562.989990234375,562.989990234375,36.0800040108817,0.06917443695828326,551.6300048828125,0.05447489717197767,1.641101806692855,0.01792565774546973,0.18778307296198782,1,12.0,728.989990234375,743.6019989013672,734.3514001464844,-0.02376998718714518,-0.011887360950935899,-0.033938492154968136,0.12093667947703524,706.52001953125,724.7625030517578,702.7933996582032,726.8755004882812,-0.005613823168511778,0.07971416831064204,0.04067475429758716,1.442992120938927,0.020996989963430357,0.06829726581077433,0,0,0,1,-0.002906959218055949,181.11000061035156,-0.01146228932132165,-0.030719857134947293,0.3627540175164936,187.2410011291504,176.0450012207031,0.03745611927756631,1.2011747828994686,0.0,1.0,3,1,2,1,1,0,6,2026-08-04,39.0,Low,regime-filtered-out,No actionable setup,Decision basis,Single-name sleeve,No action,Wait this week,Stand aside,Regime filter,Reassess if,Tape improves,Need first,Stronger market,"The stock may be acceptable on its own, but the broader tape is not supportive enough for fresh long entries.",Market regime is too weak to justify a fresh long setup.,6
2026-06-26,AMGN,354.69000244140625,362.2699890136719,354.1600036621094,358.3299865722656,358.3299865722656,3610300.0,Health Care,False,0.0614039694726598,0.012060071861027533,0.06493692009189012,0.018416883206884282,344.8405029296875,340.23140197753906,341.3850036621094,340.25740234375,334.04998779296875,362.2699890136719,362.2699890136719,359.1000061035156,9.290716988699776,0.02592782445469739,388.1600036621094,0.0768497959820986,1.1230911370275087,0.03911803726063067,0.0531949270100629,1,14.0,728.989990234375,743.6019989013672,734.3514001464844,-0.02376998718714518,-0.011887360950935899,-0.033938492154968136,0.12093667947703524,706.52001953125,724.7625030517578,702.7933996582032,726.8755004882812,0.08517395665980498,0.02394743281196343,0.09887541224685825,-0.10251979627015095,0.010122000763097994,-7.641381504663869e-05,0,0,0,1,-0.002906959218055949,160.33999633789062,0.040560712236600516,0.06269877484710862,0.09364978971679805,152.09099960327148,148.520400390625,0.0022381452447814976,-0.07523290650991377,1.0,1.0,3,2,2,1,0,0,8,2026-08-04,39.0,Low,regime-filtered-out,No actionable setup,Decision basis,Single-name sleeve,No action,Wait this week,Stand aside,Regime filter,Reassess if,Tape improves,Need first,Stronger market,"The stock may be acceptable on its own, but the broader tape is not supportive enough for fresh long entries.",Market regime is too weak to justify a fresh long setup.,6
2026-06-26,AMT,172.3699951171875,176.61000061035156,171.13999938964844,175.58999633789062,175.58999633789062,7260600.0,Real Estate,False,-0.0026129321550306672,-0.07247372773567662,-0.059406453680075466,0.01744115468130847,184.05800018310546,181.27140045166016,186.54099960327147,181.65100036621095,167.24000549316406,190.13999938964844,196.0800018310547,196.0800018310547,5.221426827566968,0.029736470963410085,232.3500061035156,0.2442866721524315,2.0460838064158873,-0.0460072576948063,-0.03134197727613738,0,6.0,728.989990234375,743.6019989013672,734.3514001464844,-0.02376998718714518,-0.011887360950935899,-0.033938492154968136,0.12093667947703524,706.52001953125,724.7625030517578,702.7933996582032,726.8755004882812,0.021157055032114513,-0.06058636678474072,-0.02546796152510733,-0.10349552479572677,-0.013310743619079801,-0.0020897210243021602,0,0,0,1,-0.002906959218055949,,,,,,,,,0.0,0.0,1,0,0,0,0,0,1,2026-07-28,32.0,Low,regime-filtered-out,No actionable setup,Decision basis,Single-name sleeve,No action,Wait this week,Stand aside,Regime filter,Reassess if,Tape improves,Need first,Stronger market,"The stock may be acceptable on its own, but the broader tape is not supportive enough for fresh long entries.",Market regime is too weak to justify a fresh long setup.,6
2026-06-26,AMZN,227.2100067138672,233.8999938964844,226.1300048828125,232.69000244140625,232.69000244140625,248291300.0,Consumer Discretionary,False,-0.04787428690806639,-0.03652019488236957,-0.15076641444742245,0.11725163330288702,244.02550048828124,256.1288003540039,253.2780014038086,257.10020050048826,225.5500030517578,249.5099945068359,274.75,274.75,8.254998343331465,0.035476377397908015,274.989990234375,0.15382373648188544,4.054903322360921,-0.04645210448987216,-0.09151176236410008,0,0.0,728.989990234375,743.6019989013672,734.3514001464844,-0.02376998718714518,-0.011887360950935899,-0.033938492154968136,0.12093667947703524,706.52001953125,724.7625030517578,702.7933996582032,726.8755004882812,-0.024104299720921207,-0.024632833931433673,-0.11682792229245431,-0.003685046174148221,-0.03653100886869287,-0.003778294005968741,0,0,0,1,-0.002906959218055949,114.37000274658205,-0.016595015086257825,-0.06300176114881706,0.04945860913579736,116.21600074768067,117.65560012817383,-0.08776465329860539,0.06779302416708965,0.0,0.0,0,0,0,0,0,0,0,2026-07-30,34.0,Low,regime-filtered-out,No actionable setup,Decision basis,Single-name sleeve,No action,Wait this week,Stand aside,Regime filter,Reassess if,Tape improves,Need first,Stronger market,"The stock may be acceptable on its own, but the broader tape is not supportive enough for fresh long entries.",Market regime is too weak to justify a fresh long setup.,6
