signal_date,holding_end_date,selected_tickers,selected_strategies,portfolio_return_1w,spy_return_1w,excess_return_1w
2021-03-19,2021-03-26,"DE,BAC","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.0016915045096845271,0.016688918087321758,-0.01499741357763723
2021-03-26,2021-04-05,"BNY,USB","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.008161486988025768,0.026213379658683644,-0.018051892670657876
2021-04-09,2021-04-16,"AMT,TXN","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.008163394472899599,0.014022259758891265,-0.005858865285991666
2021-04-16,2021-04-23,"AMZN,UPS","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.010699860181344556,-0.001246272154242889,-0.009453588027101667
2021-04-23,2021-04-30,"CRM,GOOG","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.01364630126084343,0.001343757670769108,0.012302543590074322
2021-04-30,2021-05-07,"WFC,GOOG","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.014165969043105686,0.011550461215469987,0.002615507827635699
2021-05-07,2021-05-14,"WFC,DHR","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.00496627748263323,-0.013124250471442056,0.008157972988808826
2021-05-14,2021-05-21,"SCHW,RTX","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.007779569799023944,-0.00393678089135685,-0.003842788907667094
2021-05-21,2021-05-28,"COF,FDX","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.013852596525185668,0.012290948266034718,0.0015616482591509495
2021-05-28,2021-06-07,"C,MS","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.016235871317206718,0.005118545502206473,0.011117325815000245
2021-06-04,2021-06-11,"AMT,SPG","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.013195407726142028,0.004046359276812739,0.009149048449329289
2021-06-11,2021-06-18,"SPG,CRM","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.028012832968958623,-0.022130009155776897,-0.005882823813181726
2021-06-18,2021-06-25,"INTU,CRM","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.011528912303060412,0.028174037273485553,-0.01664512497042514
