signal_date,holding_end_date,selected_tickers,selected_strategies,portfolio_return_1w,spy_return_1w,excess_return_1w
2021-04-09,2021-04-16,"TXN,GE","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.01667520664829042,0.014022259758891265,-0.030697466407181684
2021-04-16,2021-04-23,"LRCX,AMAT","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.00837390424139195,-0.001246272154242889,-0.007127632087149061
2021-04-23,2021-04-30,"MSFT,NVDA","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.02555093105826911,0.001343757670769108,-0.02689468872903822
2021-04-30,2021-05-07,"WFC,ISRG","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.011964908247885153,0.011550461215469987,0.0004144470324151661
2021-05-07,2021-05-14,"WFC,DHR","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.00496627748263323,-0.013124250471442056,0.008157972988808826
2021-05-14,2021-05-21,"SCHW,RTX","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.007779569799023944,-0.00393678089135685,-0.003842788907667094
2021-05-28,2021-06-07,"FDX,COF","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.009603070665216762,0.005118545502206473,-0.014721616167423235
2021-06-04,2021-06-11,"GS,COF","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.033987050009524955,0.004046359276812739,-0.038033409286337694
2021-06-11,2021-06-18,"CRM,AMAT","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.015289143443656561,-0.022130009155776897,0.0068408657121203365
2021-06-25,2021-07-02,"LLY,INTU","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.02000321204173683,0.016666313760287155,0.003336898281449674
2021-07-02,2021-07-12,"ADBE,LLY","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.01039216342523186,0.007746899709734079,0.002645263715497781
2021-07-09,2021-07-16,"ADBE,DHR","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.014514008896354458,-0.009597705687970248,0.024111714584324706
2021-07-16,2021-07-23,"AAPL,DHR","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.018788493986313437,0.019937882358534553,-0.0011493883722211162
2021-07-23,2021-07-30,"NKE,ORCL","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.00032027659150607457,-0.003250426576000498,0.0035707031675065726
2021-07-30,2021-08-06,"DHR,INTU","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.020530042505235935,0.009076145082474119,0.011453897422761816
2021-08-06,2021-08-13,"DHR,MS","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.03409187385246293,0.0077516401931321255,0.026340233659330803
2021-08-13,2021-08-20,"LLY,DHR","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.022639377240073255,-0.005741002868414058,0.028380380108487313
2021-08-20,2021-08-27,"PFE,LLY","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.04235425909425594,0.01554045217448774,-0.05789471126874368
2021-08-27,2021-09-03,"GS,CRM","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.008951809161420243,0.00628536717882433,-0.015237176340244574
2021-09-03,2021-09-13,"LOW,DHR","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.01634481163084256,-0.014346252742645116,-0.0019985588881974437
2021-10-15,2021-10-22,"ORCL,BKNG","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.013000538790037763,0.016260345121663855,-0.02926088391170162
2021-10-22,2021-10-29,"COP,ORCL","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.019877763328348064,0.013528436063006133,-0.0334061993913542
