date,ticker,open,high,low,close,adj_close,volume,ret_5d,ret_20d,ma_20,ma_50,ma_20_prev,ma_50_prev,low_10,high_10,high_20,atr_14,atr_pct,high_252,distance_from_52w_high,volume_ratio_20d,extension_vs_ma20,extension_vs_ma50,close_above_ma20,days_above_ma20_15,benchmark_ret_20d,rs_20d,trend_score,momentum_score,rs_score,proximity_score,risk_penalty,extension_penalty,refined_score,is_benchmark,sector,next_earnings_date,days_to_earnings,event_risk,strategy_id,strategy_name,basis_type,action_label,horizon,entry_label,entry_value,stop_label,stop_value,target_label,target_value,strategy_rationale,observed_reason,action_rank
2026-05-22,AAPL,306.1199951171875,311.3999938964844,305.8399963378906,308.82000732421875,308.82000732421875,43627900,0.028611384683597807,0.13930498821561677,289.3459991455078,270.551799621582,281.54649963378904,266.18919921875,290.2300109863281,311.3999938964844,311.3999938964844,5.7435760498046875,0.01859845836922968,308.82000732421875,0.0,0.9014519695442097,0.06730353361104457,0.14144503106673875,1,15.0,0.044401507267598284,0.09490348094801848,3,2,2,1,0,1,7,False,Technology,2026-07-30,69.0,Low,extended-strength-wait,"Extended strength, wait for pullback",Setup family,Buy on pullback,Wait this week,Only buy near,$289,Cancel if close <,$284,If trend resets,$315,A strong stock can still be a bad immediate buy if the entry is too extended above support.,"The stock is acting well, but it has already run far enough above the 20-day average that patience matters more than enthusiasm.",1
2026-05-22,ABBV,217.0,220.0099945068359,215.6999969482422,215.6999969482422,215.6999969482422,5406100,0.025238830619318087,0.08550143254154152,207.32050170898438,208.31399963378905,204.48650207519532,209.75299926757813,202.0099945068359,220.0099945068359,220.0099945068359,4.918571472167964,0.02280283514954425,244.3800048828125,0.1173582427429905,0.875362703696987,0.040418073322145906,0.03545607749569179,1,11.0,0.044401507267598284,0.04109992527394324,2,2,2,0,0,0,6,False,Healthcare,2026-07-30,69.0,Low,trend-hold,Trend hold / monitor,Decision basis,Hold,1-2 weeks,Keep only if close >,$205,Do not add,Yet,Need first,Cleaner catalyst,"The stock is still functioning, but the timing case for fresh money is not strong enough yet.","Price is above near-term support, though the edge for a new position remains modest.",3
2026-05-22,AMD,469.8399963378906,481.4100036621094,461.7099914550781,467.510009765625,467.510009765625,34661300,0.10235794161133249,0.3441534546081184,405.89600067138673,303.1888003540039,371.71200103759764,279.2126007080078,393.3599853515625,481.4100036621094,481.4100036621094,30.994293212890625,0.06629653390400962,467.510009765625,0.0,0.8176681408596399,0.1517975269338043,0.5419765150287851,1,15.0,0.044401507267598284,0.29975194734052013,3,2,2,1,1,1,6,False,Semiconductors,2026-08-04,74.0,Low,extended-strength-wait,"Extended strength, wait for pullback",Setup family,Buy on pullback,Wait this week,Only buy near,$406,Cancel if close <,$375,If trend resets,$499,A strong stock can still be a bad immediate buy if the entry is too extended above support.,"The stock is acting well, but it has already run far enough above the 20-day average that patience matters more than enthusiasm.",1
2026-05-22,AMZN,268.6600036621094,269.7900085449219,266.239990234375,266.32000732421875,266.32000732421875,27470500,0.008253170874858773,0.008826156960629827,267.09550018310546,241.9235998535156,264.5270004272461,236.70800018310547,255.19000244140625,273.6300048828125,278.55999755859375,6.121425083705357,0.02298522422407835,274.989990234375,0.03152835818775364,0.6263163918630966,-0.0029034291418428004,0.10084343770295716,0,10.0,0.044401507267598284,-0.035575350306968456,2,2,0,1,0,0,5,False,Consumer Discretionary,2026-07-30,69.0,Low,no-action,No actionable setup,Decision basis,No action,Wait this week,Stand aside,No fresh entry,Reassess if close <,$242,Need first,Cleaner setup,"The chart is missing either strong relative strength, clean support, or acceptable timing.",Setup quality is not yet strong enough to justify fresh capital.,5
2026-05-22,AVGO,417.489990234375,419.989990234375,410.2099914550781,414.1400146484375,414.1400146484375,14062100,-0.025988352805852988,-0.020389807261964932,419.09000091552736,377.0408013916016,418.5350006103516,369.4028009033203,404.7999877929687,442.3599853515625,442.3599853515625,16.46500287737167,0.03975709251700484,439.7900085449219,0.05832327565000692,0.755477535824085,-0.01181127265331149,0.09839575218360518,0,11.0,0.044401507267598284,-0.06479131452956322,2,0,0,1,0,0,3,False,Semiconductors,2026-06-03,12.0,Medium,no-action,No actionable setup,Decision basis,No action,Wait this week,Stand aside,No fresh entry,Reassess if close <,$377,Need first,Cleaner setup,"The chart is missing either strong relative strength, clean support, or acceptable timing.",Setup quality is not yet strong enough to justify fresh capital.,5
2026-05-22,CAT,878.0,893.8400268554688,861.0599975585938,879.8900146484375,879.8900146484375,1987600,-0.00947865377322954,0.05910041998541993,881.4095001220703,798.7740002441407,867.9719970703125,782.1376000976562,845.5499877929688,929.0,931.3499755859376,29.26499285016742,0.033259830618557855,926.9299926757812,0.050748145382104655,0.7703443023551002,-0.0017239268165618502,0.10155064433682642,0,10.0,0.044401507267598284,0.014698912717821644,2,1,1,1,0,0,5,False,Industrials,2026-08-04,74.0,Low,no-action,No actionable setup,Decision basis,No action,Wait this week,Stand aside,No fresh entry,Reassess if close <,$799,Need first,Cleaner setup,"The chart is missing either strong relative strength, clean support, or acceptable timing.",Setup quality is not yet strong enough to justify fresh capital.,5
2026-05-22,COST,1039.989990234375,1045.6400146484375,1025.18994140625,1028.239990234375,1028.239990234375,2048300,-0.019743516756317137,0.016901513531798473,1026.5419860839843,1007.9911962890625,1012.0114959716797,1001.44759765625,985.1500244140624,1096.5,1096.5,22.795004708426355,0.02216895367318918,1094.3199462890625,0.060384493839092106,1.0547075134329358,0.0016541010240294228,0.020088264679154748,1,13.0,0.044401507267598284,-0.02749999373579981,3,1,0,1,0,0,5,False,Consumer Staples,2026-05-28,6.0,High,event-risk-hold,Event freeze before earnings,Risk guardrail,Hold / reassess after earnings,This week only,Do not add,Until earnings on 2026-05-28,If already held,Close < $1015,Next action,Re-rank after report,"Even if the stock is stabilizing, the earnings event dominates the next move and makes fresh weekly entries more binary than this system should prefer.",Earnings are close enough that event risk matters more than the current chart.,4
2026-05-22,CRM,179.83999633789062,183.3500061035156,177.67999267578125,180.07000732421875,180.07000732421875,10176700,0.03780769422550101,0.010720720828743424,178.80000076293945,181.94640106201172,179.76300125122071,183.82320098876954,164.3300018310547,187.44000244140625,190.30999755859375,7.396428789411273,0.0410752956548388,283.4200134277344,0.36465316917313434,0.8658114360752922,0.007102944943289629,-0.010312892845588334,1,9.0,0.044401507267598284,-0.03368078643885486,1,2,0,0,0,0,3,False,Software,2026-05-27,5.0,High,event-risk-hold,Event freeze before earnings,Risk guardrail,Hold / reassess after earnings,This week only,Do not add,Until earnings on 2026-05-27,If already held,Close < $175,Next action,Re-rank after report,"Even if the stock is stabilizing, the earnings event dominates the next move and makes fresh weekly entries more binary than this system should prefer.",Earnings are close enough that event risk matters more than the current chart.,4
2026-05-22,GE,303.25,306.29998779296875,300.25,302.8399963378906,302.8399963378906,3502100,0.07569352342909474,0.06408991512017281,292.4309997558594,293.95859985351564,290.3070007324219,296.5059991455078,281.30999755859375,306.29998779296875,310.0,9.452150617327009,0.031211698360941956,345.739990234375,0.12408166572632438,0.618106727145971,0.03559470983145208,0.030213086090356715,1,10.0,0.044401507267598284,0.01968840785257453,2,2,1,0,0,0,5,False,Industrials,2026-07-16,55.0,Low,trend-hold,Trend hold / monitor,Decision basis,Hold,1-2 weeks,Keep only if close >,$288,Do not add,Yet,Need first,Cleaner catalyst,"The stock is still functioning, but the timing case for fresh money is not strong enough yet.","Price is above near-term support, though the edge for a new position remains modest.",3
2026-05-22,GOOGL,387.3500061035156,388.739990234375,381.7699890136719,382.9700012207031,382.9700012207031,20401900,-0.03480517566681929,0.11199189317004365,385.48300018310545,341.1402001953125,372.8920013427734,332.74079956054686,381.7699890136719,408.6099853515625,408.6099853515625,9.890005929129448,0.02582449251274358,402.6199951171875,0.048805310552857674,0.6903639080229904,-0.006519091532463533,0.12261762466411719,0,14.0,0.044401507267598284,0.06759038590244537,2,1,2,1,0,0,6,False,Communication Services,2026-07-23,62.0,Low,no-action,No actionable setup,Decision basis,No action,Wait this week,Stand aside,No fresh entry,Reassess if close <,$341,Need first,Cleaner setup,"The chart is missing either strong relative strength, clean support, or acceptable timing.",Setup quality is not yet strong enough to justify fresh capital.,5
