variant_id,variant_name,sample_size,avg_fwd_5d_return,avg_fwd_10d_return,avg_fwd_15d_return,avg_excess_5d_return,avg_excess_10d_return,avg_excess_15d_return,win_rate_15d,supportive_regime_share,sector_confirmed_share
risk_on_sector_confirmed,Risk-on + Sector-Confirmed Breakout,1704,0.003981301142153845,0.011760842565010598,0.016394525916962832,0.0020238694148695118,0.006711158536801535,0.009634163515571737,0.5774647887323944,1.0,1.0
supportive_sector_confirmed,Supportive + Sector-Confirmed Breakout,1985,0.004237648053845956,0.010952940238823426,0.01622473242435607,0.002257372735602341,0.006535979474650107,0.009157903029533116,0.581360201511335,1.0,1.0
baseline_current,Current Breakout Confirmation,3169,0.0026563538862530113,0.007335859305455751,0.010755211453432813,0.0015414253966537636,0.00393644908755597,0.005283042244294336,0.5642158409592931,0.8122436099715998,0.6768696749763332
leadership_quality,Leadership-Quality Breakout,981,0.004931687330239846,0.006387973981205097,0.009308505233053566,0.0022454889394253807,0.002791702272037516,0.002978310479803648,0.5524974515800204,1.0,1.0
strict_entry_quality,Strict Entry-Quality Breakout,405,0.0054256753257278,0.006229513936853238,0.0058222224525599185,0.0022552141464579943,0.0014013848200215798,-0.0011468855972549797,0.5456790123456791,1.0,1.0
