variant_id,variant_name,review_week,gross_return,trade_return_net,spy_trade_return_net,trade_count,strategy_return_net,spy_exposure_return_net
baseline_current,Current Breakout Confirmation,2021-04-02,-0.016399963041564398,-0.0183999630415644,0.03823388184724933,3,-0.0061333210138548,0.012744627282416444
baseline_current,Current Breakout Confirmation,2021-04-09,0.000959219608071682,-0.001040780391928319,0.020371357157394777,5,-0.00034692679730943967,0.006790452385798259
baseline_current,Current Breakout Confirmation,2021-04-16,-0.02376609783909498,-0.025766097839094983,0.006245956305730617,5,-0.008588699279698327,0.002081985435243539
baseline_current,Current Breakout Confirmation,2021-04-23,-0.027511417339027733,-0.029511417339027735,-0.005119905121281175,5,-0.009837139113009244,-0.0017066350404270584
baseline_current,Current Breakout Confirmation,2021-04-30,0.037841756523987934,0.03584175652398793,-0.015889081466869202,5,0.011947252174662644,-0.0052963604889564005
baseline_current,Current Breakout Confirmation,2021-05-07,0.004071701481790857,0.002071701481790857,0.00010492243911091222,5,0.0006905671605969523,3.4974146370304075e-05
baseline_current,Current Breakout Confirmation,2021-05-14,-0.0092983681066928,-0.011298368106692802,0.004004869051416683,5,-0.0037661227022309338,0.0013349563504722276
baseline_current,Current Breakout Confirmation,2021-05-21,-0.01723882012633975,-0.01923882012633975,0.01682442443145571,5,-0.00641294004211325,0.005608141477151903
baseline_current,Current Breakout Confirmation,2021-05-28,0.010406388493858132,0.00840638849385813,-0.0007113655473411455,5,0.0028021294979527103,-0.00023712184911371518
baseline_current,Current Breakout Confirmation,2021-06-04,0.0003796693286999053,-0.0016203306713000964,0.008405147709839113,5,-0.0005401102237666988,0.0028017159032797043
baseline_current,Current Breakout Confirmation,2021-06-11,0.044618544426328066,0.042618544426328064,0.013943597425114529,5,0.014206181475442689,0.00464786580837151
baseline_current,Current Breakout Confirmation,2021-06-18,0.0548210748938085,0.052821074893808495,0.025925406234478254,5,0.01760702496460283,0.008641802078159419
baseline_current,Current Breakout Confirmation,2021-06-25,0.039950282463452245,0.037950282463452244,0.016309089986917956,5,0.01265009415448408,0.005436363328972652
baseline_current,Current Breakout Confirmation,2021-07-02,0.00647242144494189,0.004472421444941888,0.013563201231501187,5,0.0014908071483139627,0.004521067077167062
baseline_current,Current Breakout Confirmation,2021-07-09,0.004666717999622816,0.0026667179996228154,0.006939709077882795,5,0.0008889059998742718,0.002313236359294265
baseline_current,Current Breakout Confirmation,2021-07-16,0.018818814739391686,0.016818814739391685,0.007820132997921326,5,0.005606271579797228,0.0026067109993071088
baseline_current,Current Breakout Confirmation,2021-07-23,0.04885580672808505,0.04685580672808505,0.017894883273261143,5,0.015618602242695017,0.005964961091087048
baseline_current,Current Breakout Confirmation,2021-07-30,0.04137657625446456,0.03937657625446456,-0.0022385766170217353,5,0.013125525418154852,-0.0007461922056739117
baseline_current,Current Breakout Confirmation,2021-08-06,0.06509135556177,0.06309135556177,0.015580444949568895,5,0.02103045185392333,0.005193481649856298
baseline_current,Current Breakout Confirmation,2021-08-13,0.0064354383232921196,0.004435438323292118,0.01625258918467205,5,0.0014784794410973726,0.005417529728224017
baseline_current,Current Breakout Confirmation,2021-08-20,-0.006708409547425931,-0.008708409547425933,0.006903892201138052,5,-0.002902803182475311,0.0023012974003793507
baseline_current,Current Breakout Confirmation,2021-08-27,-0.005061444061764409,-0.0070614440617644105,-0.02073594199693731,5,-0.0023538146872548035,-0.00691198066564577
baseline_current,Current Breakout Confirmation,2021-09-03,0.0015659525790626904,-0.0004340474209373113,-0.03017891377915114,5,-0.00014468247364577043,-0.010059637926383714
baseline_current,Current Breakout Confirmation,2021-09-10,-0.03329566109887405,-0.035295661098874054,-0.0407365572890868,5,-0.011765220366291351,-0.013578852429695601
baseline_current,Current Breakout Confirmation,2021-09-17,-0.03135039693154407,-0.03335039693154407,-0.020500478648073472,2,-0.011116798977181356,-0.006833492882691157
baseline_current,Current Breakout Confirmation,2021-09-24,0.060229263917973876,0.058229263917973874,-0.0029890182319159504,5,0.019409754639324626,-0.0009963394106386502
baseline_current,Current Breakout Confirmation,2021-10-01,0.0456416252808445,0.0436416252808445,0.014919019235023612,5,0.014547208426948165,0.004973006411674538
baseline_current,Current Breakout Confirmation,2021-10-08,0.0070824812781879794,0.005082481278187978,0.04961659473049233,5,0.0016941604260626592,0.01653886491016411
