variant_id,variant_name,ticker,sample_size,avg_fwd_15d_return,avg_excess_15d_return,win_rate_15d
baseline_current,Current Breakout Confirmation,NVDA,59,0.060584149012833086,0.04723434411155958,0.6949152542372882
baseline_current,Current Breakout Confirmation,GE,56,0.023574345656861288,0.01681509591018771,0.7142857142857143
baseline_current,Current Breakout Confirmation,MSFT,55,0.017638652119922552,-0.001447886990427519,0.6545454545454545
baseline_current,Current Breakout Confirmation,WMT,53,0.005386430281169621,0.005097768245477153,0.5471698113207547
baseline_current,Current Breakout Confirmation,AAPL,51,0.009027466090363671,0.004782935511095815,0.6274509803921569
baseline_current,Current Breakout Confirmation,BNY,51,0.009722069580622864,0.0026836793801131467,0.6274509803921569
baseline_current,Current Breakout Confirmation,CAT,51,0.01510094493956393,0.012268987626954754,0.5490196078431373
baseline_current,Current Breakout Confirmation,META,49,0.021065327834841906,0.010738618623573528,0.5510204081632653
baseline_current,Current Breakout Confirmation,XOM,49,0.0131266514861065,0.022382443811495754,0.5714285714285714
baseline_current,Current Breakout Confirmation,GOOGL,48,0.010022363944316116,0.007220034774930123,0.5833333333333334
baseline_current,Current Breakout Confirmation,LRCX,47,0.029594234232594722,0.019958596750392146,0.574468085106383
baseline_current,Current Breakout Confirmation,GOOG,46,0.006608666084472991,0.00532951251124515,0.5434782608695652
baseline_current,Current Breakout Confirmation,MU,46,0.07055856008091568,0.06394225757526421,0.6086956521739131
baseline_current,Current Breakout Confirmation,AVGO,44,0.02563733535747007,0.009189668022978548,0.5909090909090909
baseline_current,Current Breakout Confirmation,JPM,44,-0.0032395810389121327,-0.014240880020563663,0.5
baseline_current,Current Breakout Confirmation,AXP,43,0.0124961332050902,-9.333998413935506e-05,0.627906976744186
baseline_current,Current Breakout Confirmation,PLTR,43,0.014264420053258198,0.009076398430368724,0.5581395348837209
baseline_current,Current Breakout Confirmation,ISRG,42,0.013204728586799799,0.0016065432338091862,0.6666666666666666
baseline_current,Current Breakout Confirmation,LLY,42,0.012654192746627298,0.00903413158660099,0.5476190476190477
baseline_current,Current Breakout Confirmation,NFLX,42,0.01508123116395292,0.0022971848428753722,0.6666666666666666
baseline_current,Current Breakout Confirmation,WFC,42,0.014236345155024522,0.0019678629288074462,0.5952380952380952
baseline_current,Current Breakout Confirmation,GILD,41,0.018812463128226247,0.017163538384484107,0.5609756097560976
baseline_current,Current Breakout Confirmation,ORCL,40,0.03209976333956788,0.012712970522064573,0.575
baseline_current,Current Breakout Confirmation,AMZN,39,-0.017167396144485127,-0.024306904278846207,0.38461538461538464
baseline_current,Current Breakout Confirmation,ABBV,38,0.016867271377444787,0.020553446645223492,0.6578947368421053
baseline_current,Current Breakout Confirmation,BKNG,38,-0.005116749770975984,-0.008821679018244603,0.5789473684210527
baseline_current,Current Breakout Confirmation,COP,38,-0.0038696321846649617,-0.009930782214486037,0.5
baseline_current,Current Breakout Confirmation,CVX,38,-0.0048447583457758596,0.0028131187493312584,0.5526315789473685
baseline_current,Current Breakout Confirmation,RTX,38,0.009824109068880866,0.005018300005583956,0.5526315789473685
baseline_current,Current Breakout Confirmation,BAC,37,-0.002053325347676705,-0.013055622521528623,0.5135135135135135
baseline_current,Current Breakout Confirmation,C,37,0.006315150221101076,-0.0011740178548219776,0.5675675675675675
baseline_current,Current Breakout Confirmation,CSCO,37,0.016230396906556095,0.009097637501860573,0.6756756756756757
baseline_current,Current Breakout Confirmation,AMAT,36,-0.004357343568302823,-0.007468389929012155,0.5
baseline_current,Current Breakout Confirmation,EMR,35,0.006438784499438748,0.0017469837954193228,0.6
baseline_current,Current Breakout Confirmation,IBM,35,0.015603007264517037,0.015202306425906299,0.5714285714285714
baseline_current,Current Breakout Confirmation,SCHW,35,-0.006623575416747845,-0.015596538216144484,0.5142857142857142
baseline_current,Current Breakout Confirmation,SPG,35,0.02298708480456239,0.011832329843966967,0.6571428571428571
baseline_current,Current Breakout Confirmation,GS,34,0.012763062251104377,0.0028779058250565535,0.6176470588235294
baseline_current,Current Breakout Confirmation,LIN,34,-0.0025324274736048093,-0.0005944249646843572,0.47058823529411764
baseline_current,Current Breakout Confirmation,PM,34,0.008788267964621873,0.014623122250015663,0.6176470588235294
baseline_current,Current Breakout Confirmation,CL,33,0.00427170330855122,0.0038265931145533326,0.5757575757575758
baseline_current,Current Breakout Confirmation,GEV,33,0.07205953491855273,0.054802332286497564,0.696969696969697
baseline_current,Current Breakout Confirmation,CRM,32,0.018447177517211876,0.003023302513082044,0.6875
baseline_current,Current Breakout Confirmation,GM,32,-0.005990419720714825,-0.01231361146307166,0.46875
baseline_current,Current Breakout Confirmation,INTU,32,0.024660364693071046,0.015146536645877895,0.65625
baseline_current,Current Breakout Confirmation,KO,32,-0.001392820217298963,0.014904766442320253,0.46875
baseline_current,Current Breakout Confirmation,MRK,32,0.005512444504366925,-0.0013489636413017599,0.59375
baseline_current,Current Breakout Confirmation,UBER,32,0.029405703663477063,0.019946015468432013,0.625
baseline_current,Current Breakout Confirmation,BRK-B,31,0.004490003219765122,0.02075794700720298,0.5161290322580645
baseline_current,Current Breakout Confirmation,JNJ,31,0.017126416703732286,0.025503473389718333,0.6451612903225806
baseline_current,Current Breakout Confirmation,V,31,-0.0029179060981617644,-0.005110124610576529,0.4838709677419355
baseline_current,Current Breakout Confirmation,MO,30,0.004147559803718985,0.00974255235210096,0.5
baseline_current,Current Breakout Confirmation,MS,30,0.005422830035795309,-7.869317343092522e-05,0.5333333333333333
baseline_current,Current Breakout Confirmation,NOW,30,0.009402862637329638,-0.0029966422417255075,0.5666666666666667
baseline_current,Current Breakout Confirmation,ACN,29,0.005096741393479571,-0.00490539750692217,0.5862068965517241
baseline_current,Current Breakout Confirmation,AMGN,29,0.0006958608346822891,0.0004713307361679041,0.6206896551724138
baseline_current,Current Breakout Confirmation,LOW,29,0.00311952562236988,-0.006853828036319865,0.5862068965517241
baseline_current,Current Breakout Confirmation,MCD,29,0.000666034189928641,-0.010712625918380155,0.5862068965517241
baseline_current,Current Breakout Confirmation,TMO,29,-0.007124580351778669,-0.01397300060697185,0.5517241379310345
baseline_current,Current Breakout Confirmation,BLK,28,0.006903129842086789,-0.0016247116301941636,0.6428571428571429
baseline_current,Current Breakout Confirmation,COF,28,0.006262705613732219,-0.0002492808817035698,0.42857142857142855
baseline_current,Current Breakout Confirmation,NEE,28,0.002871641603013667,-0.010265817435198995,0.5357142857142857
baseline_current,Current Breakout Confirmation,TMUS,28,0.012977626979121656,0.0072812194663958675,0.7857142857142857
baseline_current,Current Breakout Confirmation,AMD,27,0.08789288567861274,0.0682350235227642,0.5925925925925926
baseline_current,Current Breakout Confirmation,AMT,27,-0.009203351122263928,-0.008564071793102783,0.48148148148148145
