variant,date,portfolio_label,count,avg_fwd_1w_return,avg_fwd_2w_return,avg_fwd_3w_return
baseline,2021-03-19,top2,1,0.019176930141098225,0.03659167341794656,0.04571365167318375
baseline,2021-03-19,top5,1,0.019176930141098225,0.03659167341794656,0.04571365167318375
baseline,2021-03-26,top2,1,0.017087065809503033,0.02603740405349586,0.024410105098945145
baseline,2021-03-26,top5,1,0.017087065809503033,0.02603740405349586,0.024410105098945145
baseline,2021-04-09,top2,2,0.004906827227786792,-0.009612570989527058,-0.031217995119762476
baseline,2021-04-09,top5,5,0.010645593466524873,-0.013288352779220868,-0.009622406124976423
baseline,2021-04-16,top2,2,-0.0058799649014250055,-0.018438131266121094,-0.02631661917380934
baseline,2021-04-16,top5,5,-0.006282198649094228,0.015059997341036935,0.033059426033709816
baseline,2021-04-23,top2,2,-0.0031736373031111542,-0.02483898025772807,-0.041793592775792754
baseline,2021-04-23,top5,3,-0.007700351809051931,-0.026451069134367382,-0.05018433906908126
baseline,2021-04-30,top2,2,0.010930557408302233,0.004038431418767918,-0.007031048531047079
baseline,2021-04-30,top5,4,0.017651236448220364,0.008023354374183028,0.001640102508482344
baseline,2021-05-07,top2,2,0.0023151874772239234,-0.0020635092140473543,0.02028016196911475
baseline,2021-05-07,top5,5,-0.005446289367527823,-0.010642439479465948,0.01182441168939521
baseline,2021-05-14,top2,2,-0.012028240774201004,0.003313889258207081,0.003914943434478679
baseline,2021-05-14,top5,5,-0.014379235563277804,-0.0015416899436696552,0.015171826658554832
baseline,2021-05-28,top2,1,0.04126715540848647,0.08626934158997068,0.08838734173467366
baseline,2021-05-28,top5,1,0.04126715540848647,0.08626934158997068,0.08838734173467366
baseline,2021-06-04,top2,2,0.002467976723210974,-0.028890559077003664,-0.0013022610432314452
baseline,2021-06-04,top5,5,0.0015337072260689145,-0.038859255790700355,-0.003462607311396848
baseline,2021-06-11,top2,2,-0.02568221595079201,0.014390198137119059,0.020752682550155666
baseline,2021-06-11,top5,3,-0.02536220405714092,0.018711833019596114,0.028516738516670952
baseline,2021-06-25,top2,2,0.029074833968840696,0.03950970959395117,0.017782834612965814
baseline,2021-06-25,top5,5,0.02606942233388341,0.039083870327389914,0.023492884928309588
baseline,2021-07-02,top2,2,0.010141142139171166,-0.010973225053039604,0.029013333954216347
baseline,2021-07-02,top5,5,0.013747049192609228,-0.004221883267529325,0.03408705485637884
baseline,2021-07-09,top2,2,-0.007699036159532435,0.020937036436504908,0.012205730155852024
baseline,2021-07-09,top5,5,-0.006679527339834545,0.017842381699508934,0.006895474118769451
baseline,2021-07-16,top2,2,0.035183859566704556,0.03370545254385626,0.055117985650157575
baseline,2021-07-16,top5,3,0.02421791568370546,0.02113682174517854,0.04447953654866321
baseline,2021-07-23,top2,2,0.0015041001050562497,0.010033823469588976,0.018556071786510864
baseline,2021-07-23,top5,4,-0.007529470506801361,-0.005944156567908504,-0.003176269081823224
baseline,2021-07-30,top2,2,0.03116840058051429,0.07205160609791905,0.07335980224202676
baseline,2021-07-30,top5,2,0.03116840058051429,0.07205160609791905,0.07335980224202676
baseline,2021-08-06,top2,2,0.014030970376460394,0.022768904035658233,0.030087815403684548
baseline,2021-08-06,top5,5,0.015295627459026217,0.012636795180812089,0.03572598591820815
baseline,2021-08-13,top2,2,-0.013012195399689563,0.015231184760929661,0.010675184383537317
baseline,2021-08-13,top5,5,-0.006823032940930229,0.006690233289905345,0.010480287761916585
baseline,2021-08-20,top2,2,-0.010457959018841778,-0.00047578586193425254,-0.030794348968092966
baseline,2021-08-20,top5,3,-0.018059884739931958,-0.0025965768605059614,-0.027097318151089993
baseline,2021-08-27,top2,2,-0.004570141449303289,-0.012306761158838497,-0.045158798399448585
baseline,2021-08-27,top5,5,0.0011029915991885852,-0.0181596891140422,-0.042571496339757965
baseline,2021-09-03,top2,2,-0.007916303911414624,-0.03358079624863941,-0.012915896730825382
baseline,2021-09-03,top5,4,-0.01912198995781761,-0.03656857897775051,-0.011615989310975183
baseline,2021-10-15,top2,2,0.019454366643583132,0.010712264295479113,0.01456499538619005
baseline,2021-10-15,top5,5,0.02047170884961358,0.02527806823043477,0.025539150357217676
baseline,2021-10-22,top2,2,0.0030597892998969756,0.0012137617670153755,0.0005533580164810425
baseline,2021-10-22,top5,5,-0.004303714810998338,-0.011735723832546929,-0.010901966054241851
baseline,2021-10-29,top2,2,0.020638119562143342,0.007759358604114586,0.07522695605064511
baseline,2021-10-29,top5,5,0.039202841687561565,0.054329756632187774,0.1089706919963703
baseline,2021-11-05,top2,2,-0.022571754513117104,0.007139833040941901,-0.008147035877211883
baseline,2021-11-05,top5,5,-0.002956241840839402,0.007205134268480284,-0.009529655842194607
baseline,2021-11-12,top2,2,0.016651069846283173,0.007315522647705186,-0.009205204546441748
baseline,2021-11-12,top5,3,0.015024666316376075,-0.0049530830414051446,-0.030813171805886903
baseline,2021-11-19,top2,2,-0.008736755579893452,-0.035472986845390075,-0.01168653379477741
baseline,2021-11-19,top5,5,-0.01141909805952741,-0.022984291928133428,-0.015690620970073232
baseline,2021-12-10,top2,2,-0.0364706033440903,0.011932269445364296,0.006440239711825835
baseline,2021-12-10,top5,4,-0.02317408489729683,0.029955134350511836,0.02995104939001203
baseline,2021-12-31,top2,2,-0.057369568502592505,-0.07429828959925833,-0.14903635041994923
baseline,2021-12-31,top5,5,-0.06325504696069235,-0.08882652335905183,-0.14240481535517754
baseline,2022-03-18,top2,2,0.030564609444981627,0.024758087938673956,0.06510746375348009
baseline,2022-03-18,top5,2,0.030564609444981627,0.024758087938673956,0.06510746375348009
baseline,2022-03-25,top2,2,-0.03527478829955538,-0.05247686191853557,-0.04276050529800002
baseline,2022-03-25,top5,5,-0.034034304553549166,-0.03809310512347057,-0.02547899096045192
baseline,2022-04-01,top2,2,-0.09507144277122925,-0.125200849892943,-0.1809251576416535
baseline,2022-04-01,top5,2,-0.09507144277122925,-0.125200849892943,-0.1809251576416535
baseline,2022-04-08,top2,2,-0.0646054429269628,-0.08224195738542717,-0.12415162584772721
baseline,2022-04-08,top5,5,-0.04039593681100222,-0.05942720182725958,-0.07084690924720201
baseline,2022-07-22,top2,2,0.04694782301276923,0.052892240752296926,0.08681106684929862
baseline,2022-07-22,top5,3,0.036043942835329044,0.043795238352938894,0.076696078411907
baseline,2022-07-29,top2,2,0.01967698404646112,0.04581754519449577,0.025215232549914313
baseline,2022-07-29,top5,5,0.020377335913072205,0.052233403126692446,0.03147958724755466
baseline,2022-08-05,top2,2,0.029250188414603695,0.013505521458873515,-0.03837164443619928
baseline,2022-08-05,top5,5,0.031233773930907028,0.010986062689753929,-0.02695433071881519
baseline,2022-08-12,top2,2,-0.016403680189982395,-0.05636631232456346,-0.09176214736933913
baseline,2022-08-12,top5,5,-0.021826290099798574,-0.07752531687990487,-0.11117114053017967
baseline,2022-08-19,top2,2,-0.0026117484991713957,-0.03973608520140337,-0.0022834388112799586
baseline,2022-08-19,top5,5,-0.0034879962624105865,-0.03564778471160224,0.016160028140214843
baseline,2022-10-28,top2,2,0.032405375053046415,0.04843326119967062,0.018916388597381206
baseline,2022-10-28,top5,5,0.014812933830864683,0.025145986438690482,0.017691223646170394
baseline,2022-11-11,top2,2,-0.008505365718908198,-0.02064585767527527,-0.02405286082783198
baseline,2022-11-11,top5,5,-0.005512060745340208,-0.010778805684866711,-0.00981041285971267
baseline,2022-11-18,top2,2,0.013673903817764232,0.01597010542491223,0.00829534462059639
baseline,2022-11-18,top5,5,0.005313316168660575,0.0035096159679126825,0.002967276478201564
baseline,2022-11-25,top2,2,0.025867141619196232,0.0014077679652058084,-0.01918113298596913
baseline,2022-11-25,top5,5,0.0012409156995549341,-0.026097288719981293,-0.044420739245358096
