strategy_id,strategy_name,observations,avg_fwd_1w_return,win_rate
extended-strength-wait,"Extended strength, wait for pullback",427,0.00783993051928662,0.550351288056206
no-action,No actionable setup,2049,0.005392244930175199,0.5597852611029771
wait-for-confirmation,Breakout confirmation,740,0.005094100744757231,0.5648648648648649
strong-stock-constructive-pullback,Constructive pullback continuation,574,0.0037678825107143005,0.554006968641115
trend-hold,Trend hold / monitor,503,0.0027152281552224734,0.5685884691848907
broad-market-trend-hold,Index trend follow-through,251,0.0020798544723650398,0.5896414342629482
