variant_id,variant_name,review_week,trade_return_net,spy_trade_return_net,trade_count,holding_days,strategy_return_net,spy_exposure_return_net
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2021-10-01,0.015839310686900365,0.009609813268316558,2,5,0.015839310686900365,0.009609813268316558
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2021-12-03,0.0005023368977030724,0.017567145444817633,1,5,0.0005023368977030724,0.017567145444817633
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2021-12-10,0.05629208900787264,0.014957646492720135,1,5,0.05629208900787264,0.014957646492720135
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2022-01-14,-0.06827346171770277,-0.021376639260220043,1,5,-0.06827346171770277,-0.021376639260220043
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2022-05-06,0.034694104754191546,-0.043524588938385844,1,5,0.034694104754191546,-0.043524588938385844
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2022-05-13,-0.022701515320357024,-0.009340584466775102,1,5,-0.022701515320357024,-0.009340584466775102
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2022-06-17,0.07023950394761158,0.060127622304708694,1,5,0.07023950394761158,0.060127622304708694
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2022-08-26,-0.0747948322331744,-0.03629129244365237,2,5,-0.0747948322331744,-0.03629129244365237
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2022-09-02,0.019096765405618665,0.023679815173198948,5,5,0.019096765405618665,0.023679815173198948
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2022-09-09,-0.03533553285255653,0.0039883209115849656,1,5,-0.03533553285255653,0.0039883209115849656
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2022-09-30,0.12353398354539591,0.01570436288615107,1,5,0.12353398354539591,0.01570436288615107
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2022-12-09,-0.001175198347390825,-0.002405198238733363,2,5,-0.001175198347390825,-0.002405198238733363
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2022-12-23,0.022817908415116828,-0.005282324518548041,2,5,0.022817908415116828,-0.005282324518548041
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2023-02-24,-0.03615539868531292,-0.010727657939518869,3,5,-0.03615539868531292,-0.010727657939518869
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2023-03-03,-0.03605263415209059,0.014946144490481263,1,5,-0.03605263415209059,0.014946144490481263
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2023-08-18,-0.03810211252839146,0.005949601880190338,1,5,-0.03810211252839146,0.005949601880190338
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2023-09-29,0.03212068059804296,-0.01338285936348371,1,5,0.03212068059804296,-0.01338285936348371
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2024-04-19,0.033649867648421816,-0.011376570268347928,1,5,0.033649867648421816,-0.011376570268347928
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2024-04-26,0.0024460252896181273,-0.009257951061910961,1,5,0.0024460252896181273,-0.009257951061910961
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2024-07-19,-0.06363478301473413,-0.010287924869133323,1,5,-0.06363478301473413,-0.010287924869133323
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2024-08-09,0.017955482157351765,0.04025003651872461,1,5,0.017955482157351765,0.04025003651872461
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2024-11-01,0.12002945712724888,0.045544875067858204,1,5,0.12002945712724888,0.045544875067858204
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2024-11-08,-0.03949155390545256,0.033026897484752515,1,5,-0.03949155390545256,0.033026897484752515
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2024-12-20,0.015470601859115973,0.003122855694360051,2,5,0.015470601859115973,0.003122855694360051
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2025-02-28,-0.04393024721282446,-0.03124745080848168,1,5,-0.04393024721282446,-0.03124745080848168
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2025-03-07,-0.08060633436049758,-0.02476355351539805,1,5,-0.08060633436049758,-0.02476355351539805
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2025-03-14,0.036377771830216586,0.004312496367919899,3,5,0.036377771830216586,0.004312496367919899
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2025-04-11,0.07012156383007984,0.08084316277612835,1,5,0.07012156383007984,0.08084316277612835
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2025-08-08,0.034116964775219305,0.02144066185489657,1,5,0.034116964775219305,0.02144066185489657
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2025-11-21,0.02705384682639922,0.02373078138226492,1,5,0.02705384682639922,0.02373078138226492
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2026-03-06,0.025532698271577114,-0.01700643502512733,1,5,0.025532698271577114,-0.01700643502512733
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2021-07-23,0.025383206862321206,0.03576734298154238,1,5,0.025383206862321206,0.03576734298154238
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2021-10-01,0.02314983201465637,0.020183876331063777,1,5,0.02314983201465637,0.020183876331063777
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2021-12-03,0.0448480423987232,0.0402197314398931,1,5,0.0448480423987232,0.0402197314398931
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2022-01-07,-0.061267841552263946,-0.004939336025127526,1,5,-0.061267841552263946,-0.004939336025127526
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2022-01-14,-0.04122234236727146,-0.021376639260220043,2,5,-0.04122234236727146,-0.021376639260220043
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2022-01-28,-0.004237349043608006,0.02089470582043851,2,5,-0.004237349043608006,0.02089470582043851
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2022-03-04,-0.07563960016678761,-0.033931742489221706,1,5,-0.07563960016678761,-0.033931742489221706
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2022-04-22,-0.023508232987764666,-0.043651386213830745,2,5,-0.023508232987764666,-0.043651386213830745
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2022-04-29,0.029538654501443107,0.017061042644787843,3,5,0.029538654501443107,0.017061042644787843
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2022-05-13,-0.03876471963198236,-0.032095579759914505,1,5,-0.03876471963198236,-0.032095579759914505
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2022-06-17,-0.11945752059754344,-0.0006090899562907186,1,5,-0.11945752059754344,-0.0006090899562907186
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2022-08-26,-0.04194211574221873,-0.03629129244365237,5,5,-0.04194211574221873,-0.03629129244365237
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2022-09-02,0.048521044478794906,0.023679815173198948,1,5,0.048521044478794906,0.023679815173198948
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2022-09-23,-0.10321824317760753,-0.0643857701606485,1,5,-0.10321824317760753,-0.0643857701606485
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2022-12-09,-0.05791035012283685,-0.018681772447179612,1,5,-0.05791035012283685,-0.018681772447179612
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2022-12-23,0.014737772195450648,-0.012196049812603247,5,5,0.014737772195450648,-0.012196049812603247
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2023-02-24,0.007477170798836365,-0.009113278284495594,1,5,0.007477170798836365,-0.009113278284495594
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2023-03-03,0.027000237848452624,0.014946144490481263,1,5,0.027000237848452624,0.014946144490481263
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2023-05-05,0.0066898015862029165,0.015278404254517765,1,5,0.0066898015862029165,0.015278404254517765
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2024-01-05,0.011196559725830956,0.01685892711361996,5,5,0.011196559725830956,0.01685892711361996
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2024-07-26,-0.035665058037354314,0.011122099331438151,2,5,-0.035665058037354314,0.011122099331438151
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2024-08-09,0.029854913444310682,0.03609241153555631,2,5,0.029854913444310682,0.03609241153555631
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2024-11-01,0.3908912676552605,0.045544875067858204,1,5,0.3908912676552605,0.045544875067858204
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2025-02-28,-0.046682063057467194,-0.021309013511320196,4,5,-0.046682063057467194,-0.021309013511320196
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2025-03-14,0.016710656439923754,7.882396409364563e-05,1,5,0.016710656439923754,7.882396409364563e-05
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2025-03-21,-0.005368852297335967,0.010218976245202073,1,5,-0.005368852297335967,0.010218976245202073
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2025-04-11,0.06683638553051963,0.001488421203764691,1,5,0.06683638553051963,0.001488421203764691
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2025-11-21,0.047347485828848956,0.02373078138226492,2,5,0.047347485828848956,0.02373078138226492
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2025-12-19,0.028344772089795134,0.018459188810825422,1,5,0.028344772089795134,0.018459188810825422
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2026-02-06,0.07826588110763177,0.0033865358761016057,1,5,0.07826588110763177,0.0033865358761016057
defensive_spy_below_ma50_reclaim_20dma,Defensive SPY Stress + 20DMA Reclaim,2023-10-27,-0.11257687899064572,-0.014817771671492673,1,5,-0.11257687899064572,-0.014817771671492673
defensive_spy_below_ma50_reclaim_20dma,Defensive SPY Stress + 20DMA Reclaim,2026-02-27,0.008253564426996542,0.0038470817988605095,1,5,0.008253564426996542,0.0038470817988605095
defensive_v1,Defensive v1 Oversold Rebound,2021-03-26,-0.006510390300675016,0.020734304831648176,1,5,-0.006510390300675016,0.020734304831648176
defensive_v1,Defensive v1 Oversold Rebound,2021-05-21,-0.021326808204620074,0.010290948266034718,1,5,-0.021326808204620074,0.010290948266034718
defensive_v1,Defensive v1 Oversold Rebound,2021-07-23,0.025383206862321206,0.03576734298154238,1,5,0.025383206862321206,0.03576734298154238
defensive_v1,Defensive v1 Oversold Rebound,2021-10-01,-0.0014785459416933138,0.008518673103863561,3,5,-0.0014785459416933138,0.008518673103863561
defensive_v1,Defensive v1 Oversold Rebound,2021-12-03,0.022675189648213134,0.028893438442355368,2,5,0.022675189648213134,0.028893438442355368
defensive_v1,Defensive v1 Oversold Rebound,2021-12-10,0.05629208900787264,0.014957646492720135,1,5,0.05629208900787264,0.014957646492720135
defensive_v1,Defensive v1 Oversold Rebound,2021-12-17,0.04291711592232372,-0.0026474184272540207,2,5,0.04291711592232372,-0.0026474184272540207
defensive_v1,Defensive v1 Oversold Rebound,2022-01-07,-0.03837146561183133,-0.0027953982444862673,4,5,-0.03837146561183133,-0.0027953982444862673
defensive_v1,Defensive v1 Oversold Rebound,2022-01-14,-0.05023938215074856,-0.021376639260220043,3,5,-0.05023938215074856,-0.021376639260220043
defensive_v1,Defensive v1 Oversold Rebound,2022-01-28,0.004605583651493292,0.02089470582043851,3,5,0.004605583651493292,0.02089470582043851
defensive_v1,Defensive v1 Oversold Rebound,2022-03-04,-0.07563960016678761,-0.033931742489221706,1,5,-0.07563960016678761,-0.033931742489221706
defensive_v1,Defensive v1 Oversold Rebound,2022-04-15,-0.011878919782570272,0.012647796630066878,1,5,-0.011878919782570272,0.012647796630066878
defensive_v1,Defensive v1 Oversold Rebound,2022-04-22,-0.023508232987764666,-0.043651386213830745,2,5,-0.023508232987764666,-0.043651386213830745
defensive_v1,Defensive v1 Oversold Rebound,2022-04-29,0.029538654501443107,0.017061042644787843,3,5,0.029538654501443107,0.017061042644787843
defensive_v1,Defensive v1 Oversold Rebound,2022-05-06,0.034694104754191546,-0.043524588938385844,1,5,0.034694104754191546,-0.043524588938385844
defensive_v1,Defensive v1 Oversold Rebound,2022-05-13,0.0036585529178463916,-0.0068033471645619886,2,5,0.0036585529178463916,-0.0068033471645619886
defensive_v1,Defensive v1 Oversold Rebound,2022-05-27,0.022500329389634866,0.03833553034977366,1,5,0.022500329389634866,0.03833553034977366
