variant_id,variant_name,year,sample_size,avg_fwd_5d_return,avg_fwd_10d_return,avg_fwd_15d_return,avg_excess_5d_return,avg_excess_10d_return,avg_excess_15d_return,win_rate_10d
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2022,18,0.01147718501996865,-0.00470670778162151,-0.015704691735574008,0.006160532015835878,0.014670276199150492,0.015510489774654067,0.3888888888888889
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2024,8,0.014736962377585733,0.004375708315435545,0.03499556323002484,0.00096882809500283,-0.009824412335228086,0.01468873785828273,0.5
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2025,8,0.01648613866862826,0.01198628045945005,-0.00866060105658438,0.004118502319482034,0.007374830483658071,0.003969510788156591,0.75
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2023,6,-0.023083377023062974,-0.019819592102574984,-0.031883870082416756,-0.020971695887834856,-0.01680055247872253,-0.026606150402595213,0.3333333333333333
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2021,4,0.02411826181984411,-0.008292127353964701,0.03412157968997159,0.009182157201301389,-0.019365521102710864,-0.007523606647632186,0.5
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,2026,1,0.027532698271577116,-0.04041649188060581,-0.037886825528157586,0.042539133296704446,-0.005004972522971829,0.019060105893482837,0.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2022,27,-0.019544803230568127,-0.02894932313768953,-0.02288496566533986,-0.004997581350457938,-0.002605033178486248,-0.0024360901056238696,0.25925925925925924
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2024,10,0.0455253777098328,0.10179572825165381,0.11787896782593772,0.02109852447283811,0.07431338497771803,0.07104151552168338,0.8
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2025,10,0.0034489681190731703,-0.021911767724076603,0.003393384527455723,0.0022018762247596802,-0.008473330169765236,0.024309972662889322,0.6
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2021,3,0.03312702709190026,0.03685650421027864,0.049848128158178885,-0.0009299564922661633,0.0017080694598506547,0.004677692555179062,1.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2023,3,0.01572240341116397,-0.019193644330612103,-0.047766837569137056,0.006685313257662824,-0.012856828980059132,-0.048470274834150597,0.6666666666666666
