variant_id,variant_name,ticker,sample_size,avg_fwd_5d_return,avg_fwd_10d_return,avg_fwd_15d_return,avg_excess_5d_return,avg_excess_10d_return,avg_excess_15d_return,win_rate_10d
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,AMZN,3,0.035936310774442516,0.020659966795361456,-0.001923466418282264,0.01098589130432237,0.012560608409137308,-0.00045967947267252135,0.6666666666666666
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,UBER,3,0.01600940518122466,-0.0030250788252126717,-0.028478745649402597,-0.0012857823602481961,-0.012448595735138087,-0.011618719436048938,0.6666666666666666
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,ACN,2,-0.030089569953052453,-0.0788976122529238,-0.07612716112070467,-0.03324115790954191,-0.031860212883215944,-0.026727698962408786,0.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,ADBE,2,-0.007186824630594724,-0.062220482693797874,-0.06400950813387285,-0.010898223993439538,-0.05854500513999694,-0.07209608161805581,0.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,LLY,2,-0.016010618486605455,-0.025360426787864043,-0.026315940603166332,-0.012906068034085616,-0.004354197935964643,0.03936588392685508,0.5
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,MU,2,0.0632377412084335,0.013014747186750553,0.06949777651814049,0.043094279205459884,-0.011226915375403879,0.030619150625237235,0.5
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,NVDA,2,-0.04118673353770924,-0.0760363120006951,-0.07025744652393445,-0.03513302548141495,-0.07393527109971643,-0.07722165345557686,0.5
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,QCOM,2,-0.02205425894208779,-0.036276147453283336,-0.04941635191114008,-0.0026631096543316968,-0.004510022141999637,-0.00984729121779132,0.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,AAPL,1,-0.003735196072436553,-0.04596106265540978,-0.047670383122520366,-0.029415011245635503,-0.01856583662926381,0.02414738655699411,0.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,AMGN,1,0.03669410475419155,0.05667773600816561,0.08484429450494324,0.07821869369257739,0.07603504775242731,0.13885743147271057,1.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,AXP,1,-0.01159919338918447,0.0050102659082305046,0.06328072349911174,-0.0014031435765812228,0.008058575247752775,0.020131560358706002,1.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,BA,1,-0.033335532852556526,-0.04232559206034303,-0.16326528875298363,-0.03932385376414149,-0.025256257274178462,-0.09319669371114492,0.0
