variant_id,variant_name,holding_days,active_weeks,active_share,total_trades,avg_trades_per_active_week,strategy_ann_return_net,spy_exposure_ann_return_net,ann_excess_vs_spy_exposure_net,spy_buy_hold_ann_return,ann_excess_vs_spy_buy_hold,strategy_max_drawdown,spy_exposure_max_drawdown,spy_buy_hold_max_drawdown,avg_week_return_net,avg_week_exposure_spy_net,avg_week_excess_net,win_rate_week,excess_win_rate_week,return_vol_week,excess_vol_week,sharpe_like_week,information_like_week
stress_v1,Stress-Regime v1 Oversold Rebound,15,67,0.24452554744525548,144,2.1492537313432836,0.0705161340686864,0.009553328812879514,0.060962805255806884,0.14272826501972635,-0.07221213095103995,-0.12981484913513053,-0.15446148158066708,-0.25360573583036905,0.005782896659119435,0.0008674367620869406,0.004915459897032494,0.5074626865671642,0.5671641791044776,0.02888987029841203,0.024258534678655273,0.20017039188428962,0.2026280631598715
v1_baseline_current,Current v1 Oversold Rebound,15,128,0.46715328467153283,244,1.90625,0.05162347428488889,0.02788462310182438,0.023738851183064513,0.14272826501972635,-0.09110479073483746,-0.1918324580228673,-0.1744552120794779,-0.25360573583036905,0.0024779931390270923,0.0012135455551873055,0.001264447583839787,0.5078125,0.515625,0.02847339881373487,0.024277713352469376,0.08702835777482838,0.05208264738454766
defensive_v1,Defensive v1 Oversold Rebound,15,63,0.22992700729927007,136,2.1587301587301586,0.04971492783793119,0.0046445094693226,0.04507041836860859,0.14272826501972635,-0.09301333718179516,-0.18682027810855395,-0.17416737097280466,-0.25360573583036905,0.004443976107224188,0.0005045363428698242,0.003939439764354365,0.49206349206349204,0.5555555555555556,0.027688425479810087,0.02358491726042535,0.16049941555776284,0.16703216385518574
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,5,31,0.11313868613138686,44,1.4193548387096775,0.03427489376889059,0.030985404907595715,0.003289488861294876,0.14272826501972635,-0.10845337125083576,-0.1426470846214536,-0.0727138783926412,-0.25360573583036905,0.007020559953006998,0.005565522880043809,0.0014550370729631886,0.6129032258064516,0.5161290322580645,0.05086926256522628,0.04256620767470531,0.13801182873459192,0.0341829153323385
stress_v1,Stress-Regime v1 Oversold Rebound,5,67,0.24452554744525548,144,2.1492537313432836,0.03400602770185923,0.0369200545860533,-0.0029140268841940653,0.14272826501972635,-0.10872223731786712,-0.2525696545709053,-0.14374851886808226,-0.25360573583036905,0.003951640503650256,0.0031467103159837327,0.000804930187666523,0.5671641791044776,0.4925373134328358,0.052220141639448055,0.04235482350082972,0.07567272664509807,0.019004451468219545
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,15,30,0.10948905109489052,53,1.7666666666666666,0.03052572644082585,-0.008550612358451115,0.039076338799276966,0.14272826501972635,-0.1122025385789005,-0.23142227539381666,-0.12929846005676082,-0.25360573583036905,0.006175334208858166,-0.0013472607948699367,0.007522595003728102,0.4666666666666667,0.6,0.04317980154974828,0.039017410542856346,0.14301441848322172,0.19280098035889276
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,10,30,0.10948905109489052,53,1.7666666666666666,0.02915065434095787,-0.016579095244859676,0.04572974958581755,0.14272826501972635,-0.11357761067876848,-0.3052835896374191,-0.1863733527103152,-0.25360573583036905,0.006897476603794297,-0.0027540033070188965,0.009651479910813195,0.5666666666666667,0.5333333333333333,0.06389651434196332,0.05713798704806432,0.10794761928452264,0.1689152945254161
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,5,30,0.10948905109489052,53,1.7666666666666666,0.027963338294677564,0.008749263162797227,0.019214075131880337,0.14272826501972635,-0.11476492672504879,-0.4017317972815456,-0.19888217302327793,-0.25360573583036905,0.008063646524165354,0.0018810384434047934,0.0061826080807605615,0.5666666666666667,0.4666666666666667,0.08563662212959981,0.07252493024331055,0.09416119323298484,0.08524803898492303
defensive_v1,Defensive v1 Oversold Rebound,5,63,0.22992700729927007,136,2.1587301587301586,0.019427827107847406,0.02995079577831139,-0.010522968670463984,0.14272826501972635,-0.12330043791187895,-0.29424571071485073,-0.1752857547257507,-0.25360573583036905,0.00296099550573078,0.002773385557413667,0.0001876099483171113,0.5555555555555556,0.47619047619047616,0.05285546110397186,0.04317004382307282,0.05602061629745718,0.004345836411146763
v1_baseline_current,Current v1 Oversold Rebound,5,128,0.46715328467153283,244,1.90625,0.0165028493739392,0.04646464038052911,-0.02996179100658991,0.14272826501972635,-0.12622541564578715,-0.3337346031624008,-0.17110347772403034,-0.25360573583036905,0.0017035839430958083,0.002068640810582756,-0.0003650568674869472,0.515625,0.5,0.04584993125207686,0.03899117256765027,0.03715564879977091,-0.009362551660983471
