date,ticker,open,high,low,close,adj_close,volume,display_name,sector,is_benchmark,is_active,ret_5d,ret_10d,ret_20d,ret_60d,ma_20,ma_50,ma_20_prev,ma_50_prev,low_10,high_10,high_20,prior_high_20,atr_14,atr_pct,high_252,distance_from_52w_high,volume_ratio_20d,extension_vs_ma20,extension_vs_ma50,close_above_ma20,days_above_ma20_15,benchmark_close,benchmark_ma_20,benchmark_ma_50,benchmark_ret_5d,benchmark_ret_10d,benchmark_ret_20d,benchmark_ret_60d,qqq_close,qqq_ma_20,qqq_ma_50,qqq_ma_20_prev,rs_5d,rs_10d,rs_20d,rs_60d,ma_20_slope_5d,ma_50_slope_5d,spy_above_ma20,spy_above_ma50,qqq_above_ma20,qqq_above_ma50,qqq_ma20_slope_5d,sector_close,sector_ret_10d,sector_ret_20d,sector_ret_60d,sector_ma_20,sector_ma_50,stock_vs_sector_20d,stock_vs_sector_60d,sector_above_ma20,sector_above_ma50,trend_score,momentum_score,rs_score,proximity_score,risk_penalty,extension_penalty,refined_score,regime,regime_supportive,fwd_5d_return,fwd_10d_return,fwd_15d_return,spy_fwd_5d_return,spy_fwd_10d_return,spy_fwd_15d_return,excess_5d_return,excess_10d_return,excess_15d_return,instrument_type,etf_subgroup,sector_confirmation,prev_close,pullback_from_high_20,pullback_depth_band,extension_band,oversold_extension_band,signal_sample_ready,variant_id,variant_name,rebound_quality,score
2022-09-01,AAPL,156.63999938964844,158.4199981689453,154.6699981689453,157.9600067138672,155.06658935546875,74229900.0,Apple Inc.,Information Technology,False,True,-0.07098742664285285,-0.09296576370964793,-0.047343290273872296,0.062201597622128624,167.14300155639648,156.49420043945312,167.98700027465821,153.87779998779297,154.6699981689453,173.74000549316406,176.14999389648438,176.14999389648438,3.3228563581194197,0.02103606113500949,182.0099945068359,0.13213553386523208,1.125760236102101,-0.05494094731469101,0.009366521380970775,0,10.0,396.4200134277344,414.83800201416017,400.77300048828124,-0.05504039427042684,-0.0735469399690466,-0.042856796543762954,-0.04647129759095081,299.3999938964844,318.07499542236326,305.4485968017578,322.115495300293,-0.015947032372426007,-0.019418823740601332,-0.004486493730109342,0.10867289521307943,-0.00502419066285964,0.017003105398359697,0,0,0,0,-0.01254363710185058,67.30000305175781,-0.10772289918801192,-0.08659062468773893,-0.04990465276210798,72.42800025939941,69.37650032043457,0.03924733441386663,0.1121062503842366,0.0,0.0,2,0,0,0,0,0,2,Defensive,False,-0.003735196072436553,-0.04596106265540978,-0.047670383122520366,0.02567981517319895,-0.02739522602614597,-0.07181776967951448,-0.029415011245635503,-0.01856583662926381,0.02414738655699411,Single name,Not applicable,Unconfirmed,157.22000122070312,0.1032641942258973,10-15%,<-2%,-8% to -5%,True,v1_baseline_current,Current v1 Oversold Rebound,true_rebound_candidate,0.04509292517201915
2022-04-20,ABBV,156.36000061035156,158.10000610351562,155.52000427246094,156.6999969482422,135.46983337402344,6250000.0,AbbVie,Health Care,False,True,-0.06341522183476112,-0.04117968567061181,-0.020686192564379757,0.1856839634241665,163.29999923706055,154.77479919433594,163.3114990234375,152.89199890136717,153.7100067138672,175.91000366210938,175.91000366210938,175.91000366210938,4.979997907366071,0.03178045950448205,174.9600067138672,0.10436676420279153,0.8263697905648403,-0.04041642571741363,0.012438702966682319,0,10.0,444.7099914550781,448.27100067138673,440.4728021240234,0.014647796630066878,-0.014012387959390082,-0.010854344897711865,0.011072197066513079,341.2099914550781,353.8300018310547,347.0373992919922,355.44750061035154,-0.078063018464828,-0.027167297711221727,-0.009831847666667892,0.1746117663576534,-7.041626857706706e-05,0.012314576998783133,0,1,0,0,-0.004550598264214556,140.27999877929688,0.02237440357999354,0.027767551715151884,0.08710482081505155,138.26500091552734,133.92600143432617,-0.04845374427953164,0.09857914260911493,1.0,1.0,2,0,0,0,0,0,2,Defensive,False,0.005871079686422531,-0.0326100874911911,-0.030248821484920696,-0.06170313905388847,-0.0351914600463058,-0.11684017101812028,0.067574218740311,0.0025813725551147026,0.08659134953319958,Single name,Not applicable,Confirmed,156.35000610351562,0.10920360590046978,10-15%,<-2%,-5% to -2%,True,v1_baseline_current,Current v1 Oversold Rebound,true_rebound_candidate,-0.07203460337505145
2023-05-01,ABBV,150.83999633789062,154.7100067138672,150.82000732421875,153.7100067138672,138.03903198242188,5601000.0,AbbVie,Health Care,False,True,-0.06320084715665097,-0.04634561546940985,-0.03551476800359077,0.06124006213921818,160.12300033569335,156.60640045166016,160.65699996948243,156.17760040283204,147.16000366210938,166.1999969482422,166.1999969482422,166.1999969482422,3.3885694231305803,0.022045210299407755,166.5500030517578,0.07709394237537427,1.062815407692461,-0.04005042129101691,-0.018494734119676094,0,12.0,415.510009765625,411.15050048828124,402.54960083007813,0.006979630295257833,0.003792837887033995,0.014949058106468627,-0.0030471448183491123,322.19000244140625,317.4939987182617,307.65619873046876,316.40649871826173,-0.07018047745190881,-0.050138453356443846,-0.050463826110059395,0.06428720695756729,-0.003323849156217973,0.002745592503163863,1,1,1,1,0.0034370343352787547,134.22000122070312,-0.0017849582119595642,0.0367680693649004,0.00856627122004161,133.5090003967285,129.92900009155272,-0.07228283736849117,0.052673790919176566,1.0,1.0,1,0,0,1,0,0,2,Risk-on,True,-0.04072610430157664,-0.04632105956010102,-0.05731580529940872,-0.006666553070075243,-0.00601670222435835,0.007893910380515345,-0.034059551231501395,-0.04030435733574267,-0.06520971567992406,Single name,Not applicable,Confirmed,151.1199951171875,0.07515036380093688,6-10%,<-2%,-5% to -2%,True,v1_baseline_current,Current v1 Oversold Rebound,true_rebound_candidate,-0.09829713038214594
2024-03-19,ABT,112.44000244140624,114.41999816894533,112.04000091552734,113.16000366210938,108.17871856689452,8299200.0,Abbott Laboratories,Health Care,False,True,-0.06293473285589612,-0.04490208933229989,-0.02983535447315777,0.05363130404465166,118.62700080871582,115.38820022583008,118.00650024414062,114.81060012817383,112.04000091552734,121.63999938964844,121.63999938964844,121.63999938964844,2.3278563363211475,0.020571370280899077,120.95999908447266,0.06448408962797808,1.4808695147900486,-0.046085605379351136,-0.01931043693687763,0,12.0,515.7100219726562,510.2904968261719,496.87620056152343,-0.002070527620184115,0.01681854454051357,0.03814721763930229,0.1013326169594988,438.5700073242187,438.41150054931643,428.9426000976562,436.65199890136716,-0.06086420523571201,-0.06172063387281346,-0.06798257211246006,-0.04770131291484714,0.005258189703884586,0.005030895204897634,1,1,1,1,0.00402952843998472,145.77999877929688,0.00517134390341778,0.004478700989565931,0.09831992369340647,146.1760009765625,143.44640045166017,-0.0343140554627237,-0.04468861964875481,0.0,1.0,1,0,0,1,0,0,2,Risk-on,True,-0.014669526408518596,-0.01661368700929089,-0.01758576730967698,0.006011082689608482,0.007174479870921013,-0.003083180058023105,-0.02068060909812708,-0.023788166880211903,-0.014502587251653876,Single name,Not applicable,Unconfirmed,112.44000244140624,0.06971387512404666,6-10%,<-2%,-5% to -2%,True,v1_baseline_current,Current v1 Oversold Rebound,ambiguous_rebound,-0.06021957520151333
2025-03-17,ABT,126.72000122070312,127.87000274658205,126.1999969482422,127.63999938964844,124.50798797607422,6662800.0,Abbott Laboratories,Health Care,False,True,-0.07076296722126407,-0.08971617259690401,-0.02273946257425974,0.1333688179431538,134.16400032043458,127.10060028076173,134.5870002746582,125.57560028076172,124.5,141.22999572753906,141.22999572753906,141.22999572753906,3.1499998910086497,0.024678783344338637,140.22000122070312,0.08971617259690397,0.9360126322650978,-0.04862706027849761,0.00424387538450011,0,10.0,567.1500244140625,582.4514984130859,592.175,0.011720016989413606,-0.028470107338730566,-0.06978839911605639,-0.06532730441947898,482.7699890136719,501.25050201416013,513.6094000244141,515.2655029296875,-0.08248298421067768,-0.06124606525817344,0.04704893654179665,0.1986961223626328,-0.003142948080872565,0.012144078918121082,0,0,0,0,-0.027199571552609547,146.77000427246094,-0.018785917396682117,0.01360498051922665,0.05354968663128079,147.24549942016603,145.12899993896485,-0.03634444309348639,0.07981913131187302,0.0,1.0,2,0,2,1,0,0,5,Defensive,False,-0.003368852297335967,0.039250975640808816,-0.021779996808134805,0.012218976245202073,-0.013682463954122315,-0.11067621763059843,-0.01558782854253804,0.05293343959493113,0.08889622082246362,Single name,Not applicable,Unconfirmed,126.70999908447266,0.09622599128380949,6-10%,<-2%,-5% to -2%,True,v1_baseline_current,Current v1 Oversold Rebound,true_rebound_candidate,-0.012928195709381467
2022-01-10,ACN,363.4200134277344,373.3699951171875,360.2200012207031,373.0,348.5205078125,2952400.0,Accenture,Information Technology,False,True,-0.08401068778503207,-0.10191892697567217,-0.016972386675020434,0.10016514452328562,395.50499725341797,377.6329998779297,392.2929992675781,374.7072003173828,360.2200012207031,417.3699951171875,417.3699951171875,417.3699951171875,8.980708530970977,0.024076966570967768,415.4200134277344,0.10211355268542852,1.1226154308289573,-0.056901928950844574,-0.012268524942013352,0,12.0,465.510009765625,469.4545013427734,466.4842010498047,-0.025538468752333676,-0.02461970364072663,-0.011110125711108698,0.05200002206920895,380.1099853515625,392.06499938964845,393.4652001953125,394.596501159668,-0.05847221903269839,-0.07729922333494554,-0.005862260963911736,0.04816512245407667,0.00818775250090309,0.00780822881991261,0,0,0,0,-0.006415418693728303,82.9800033569336,-0.06051507247082866,-0.051006392497087494,0.0729941726163974,85.66300010681152,84.59060012817383,0.03403400582206706,0.02717097190688822,0.0,0.0,1,0,0,0,0,0,1,Defensive,False,-0.06627346171770276,-0.10201069113396444,-0.05249326158784351,-0.01937663926022004,-0.06667957271326974,-0.026981154637077287,-0.04689682245748272,-0.035331118420694696,-0.025512106950766222,Single name,Not applicable,Unconfirmed,370.75,0.10630854071033417,10-15%,<-2%,-8% to -5%,True,v1_baseline_current,Current v1 Oversold Rebound,true_rebound_candidate,0.037350702542404454
2022-09-01,ACN,287.79998779296875,289.0299987792969,284.1300048828125,288.7900085449219,272.30731201171875,2021400.0,Accenture,Information Technology,False,True,-0.06772760826686808,-0.09600570879145287,-0.07024879377893722,-0.05787358596229231,308.5435028076172,295.10780151367186,312.00550231933596,293.7794012451172,284.1300048828125,317.75,322.8800048828125,322.8800048828125,5.903568812779018,0.020442427501298772,415.4200134277344,0.30482403540926367,1.233998131970771,-0.06402174760753915,-0.021408424095685222,0,6.0,396.4200134277344,414.83800201416017,400.77300048828124,-0.05504039427042684,-0.0735469399690466,-0.042856796543762954,-0.04647129759095081,299.3999938964844,318.07499542236326,305.4485968017578,322.115495300293,-0.012687213996441238,-0.022458768822406272,-0.02739199723517427,-0.011402288371341496,-0.01109595659686613,0.004521761100078958,0,0,0,0,-0.01254363710185058,67.30000305175781,-0.10772289918801192,-0.08659062468773893,-0.04990465276210798,72.42800025939941,69.37650032043457,0.016341830908801702,-0.007968933200184325,0.0,0.0,1,0,0,0,0,0,1,Defensive,False,0.006094321811597858,-0.05578453337188316,-0.09976106065356583,0.02567981517319895,-0.02739522602614597,-0.07181776967951448,-0.019585493361601092,-0.02838930734573719,-0.02794329097405135,Single name,Not applicable,Unconfirmed,288.4599914550781,0.10558100787400385,10-15%,<-2%,-8% to -5%,True,v1_baseline_current,Current v1 Oversold Rebound,true_rebound_candidate,0.01982990042895398
2026-01-30,ACN,261.2200012207031,264.5400085449219,259.8999938964844,263.6400146484375,261.4230651855469,5457900.0,Accenture,Information Technology,False,True,-0.06201299399290039,-0.08385160123173219,-0.017368517914831516,0.061181822804949215,276.4,268.4925991821289,276.34550018310546,265.9205996704102,257.3699951171875,289.1600036621094,291.0899963378906,291.0899963378906,9.158578055245536,0.03473895291448246,398.25,0.3380037296963277,1.197393679453287,-0.04616492529508856,-0.018073438703611035,0,10.0,691.969970703125,690.4944915771484,683.8047998046875,0.003975436809222188,-0.00039006635712934834,0.014737781623702428,0.012629062411825487,621.8699951171875,622.5299987792969,617.7989978027343,620.5959991455078,-0.06598843080212258,-0.08346153487460284,-0.032106299538533944,0.04855276039312373,0.0001972162269998634,0.009672058181677379,1,1,0,1,0.0031163585270481686,143.8800048828125,-0.010862104758201263,-0.0006251047935511567,-0.04686825121674576,145.56349868774413,144.392099609375,-0.01674341312128036,0.10805007402169498,0.0,0.0,1,0,0,0,0,0,1,Selective risk-on,True,-0.08731610625172759,-0.14948420850852817,-0.23691404378029013,-0.0019509164314829297,-0.01476938470717204,-0.01384446791087346,-0.08536518982024466,-0.13471482380135613,-0.22306957586941667,Single name,Not applicable,Unconfirmed,261.2200012207031,0.09430067001543335,6-10%,<-2%,-5% to -2%,True,v1_baseline_current,Current v1 Oversold Rebound,ambiguous_rebound,-0.04494575801379957
2021-12-06,ADBE,617.469970703125,625.9000244140625,605.72998046875,622.0399780273438,622.0399780273438,3170000.0,Adobe Inc.,Information Technology,False,True,-0.09520140385566689,-0.09635808876090213,-0.0613833813286494,-0.05599906558616263,661.8659942626953,632.59419921875,663.6094970703125,631.176201171875,604.2999877929688,699.5399780273438,699.5399780273438,699.5399780273438,25.024998256138392,0.04023053041622727,688.3699951171875,0.09635808876090217,1.3264458573673188,-0.06017232578887341,-0.016684030938697532,0,12.0,458.7900085449219,463.94400177001955,453.6032012939453,-0.012505375553738651,-0.02154024566099655,-0.02078840257774628,0.029970379917263257,386.2000122070313,394.50950317382814,381.021201171875,395.82450103759766,-0.08269602830192824,-0.07481784309990558,-0.04059497875090312,-0.08596944550342589,-0.002627302374836993,0.0022465961869952977,0,1,0,1,-0.0033221739945921147,83.3499984741211,-0.02691028355642111,-0.0022743887876943703,0.06429159006260554,83.9474998474121,80.44759994506836,-0.05910899254095503,-0.12029065564876817,0.0,1.0,1,0,0,1,0,0,2,Defensive,False,0.05829208900787264,-0.11618217646602269,-0.0846890787354917,0.016957646492720135,-0.008304447541648496,0.0394079780194152,0.0413344425151525,-0.1078777289243742,-0.1240970567549069,Single name,Not applicable,Unconfirmed,616.530029296875,0.11078709213810031,10-15%,<-2%,-8% to -5%,True,v1_baseline_current,Current v1 Oversold Rebound,ambiguous_rebound,-0.08716145957828553
2023-02-22,ADBE,346.69000244140625,353.1700134277344,344.45001220703125,348.7200012207031,348.7200012207031,2599300.0,Adobe Inc.,Information Technology,False,True,-0.07721617662628044,-0.09144913093044171,-0.03487215168854285,0.038537144822349934,370.72100219726565,352.3334027099609,369.37850189208984,349.7866015625,344.45001220703125,387.2799987792969,402.489990234375,402.489990234375,10.847143990652901,0.031105597478441733,471.1799926757813,0.2599006608061621,0.9979287402171847,-0.05934651893516271,-0.010255631346518487,0,11.0,398.5400085449219,408.06000061035155,396.76239990234376,-0.03417023459425916,-0.040102106983739616,-0.00414793506115807,-0.00964167972105412,294.25,300.6675003051758,284.9329992675781,296.2274993896484,-0.04304594203202128,-0.0513470239467021,-0.03072421662738478,0.04817882454340405,0.0036344841356468205,0.007281014012784803,0,1,0,1,0.014988483259237073,68.1500015258789,-0.05043883637323843,0.015118780924275432,0.014287826307341378,69.802250289917,66.2864005279541,-0.049990932612818284,0.024249318515008556,0.0,1.0,1,0,0,0,0,0,1,Defensive,False,-0.07266573826906209,-0.008258788921573057,-0.043329937532254004,-0.009534847767030508,0.0009534924340466322,-0.023234831051049287,-0.06313089050203158,-0.00921228135561969,-0.020095106481204716,Single name,Not applicable,Unconfirmed,346.70001220703125,0.13359335714749312,10-15%,<-2%,-8% to -5%,True,v1_baseline_current,Current v1 Oversold Rebound,ambiguous_rebound,-0.07051045875666298
