variant_id,variant_name,regime,sample_size,avg_fwd_5d_return,avg_fwd_10d_return,avg_fwd_15d_return,avg_excess_5d_return,avg_excess_10d_return,avg_excess_15d_return,win_rate_10d
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,Defensive,45,0.009819547158704964,-0.0032517196396003763,-0.003660188469235116,0.00233390680835168,0.0013599543325777397,0.005728524044503791,0.4666666666666667
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,Defensive,54,0.0034971841422323114,0.005648884580582095,0.01529230853172739,0.0035224949266913653,0.014296908092720724,0.017939296146772893,0.5
defensive_spy_below_ma50_reclaim_20dma,Defensive SPY Stress + 20DMA Reclaim,Defensive,2,-0.05016165728182459,0.05906169607086903,0.09987405753573275,-0.04667631234550851,0.046382847887540934,0.0800382547231131,0.5
defensive_v1,Defensive v1 Oversold Rebound,Defensive,150,0.006088833661179342,0.003743310756495898,0.014004279427898024,0.0017932701690068,0.006753857229759297,0.013441450809547012,0.49333333333333335
stress_moderate_reclaim_50dma,Stress Moderate Band + 50DMA Reclaim,Defensive,11,0.009900027999381248,0.014459134993243057,0.031069750820583154,-0.004226807066862192,-0.0015479230479737477,0.011200090604679717,0.6363636363636364
stress_moderate_sector_confirmed,Stress Moderate Band + Sector Confirmed,Defensive,3,0.016528332782634807,0.010164657407161696,0.0050734288507492025,0.041706747011539945,0.028129686804478582,0.04915922951857258,0.3333333333333333
stress_v1,Stress-Regime v1 Oversold Rebound,Defensive,150,0.006088833661179342,0.003743310756495898,0.014004279427898024,0.0017932701690068,0.006753857229759297,0.013441450809547012,0.49333333333333335
stress_v1,Stress-Regime v1 Oversold Rebound,Neutral,8,0.013020679724854753,0.03426374171342583,0.03919548116238543,0.011096557031426632,0.03291983066665838,0.04770093998576763,0.625
v1_baseline_current,Current v1 Oversold Rebound,Defensive,150,0.006088833661179342,0.003743310756495898,0.014004279427898024,0.0017932701690068,0.006753857229759297,0.013441450809547012,0.49333333333333335
v1_baseline_current,Current v1 Oversold Rebound,Risk-on,81,-0.0007728649567723602,-0.01104889093018027,-0.00372318231230018,-0.004786639205786974,-0.016521202995684676,-0.011226111044848063,0.4444444444444444
v1_baseline_current,Current v1 Oversold Rebound,Selective risk-on,20,-0.011560638518328458,-0.017963294848988738,0.006890831137793535,-0.004738136236520784,-0.0018909127112705926,0.0043732003165406815,0.45
v1_baseline_current,Current v1 Oversold Rebound,Neutral,8,0.013020679724854753,0.03426374171342583,0.03919548116238543,0.011096557031426632,0.03291983066665838,0.04770093998576763,0.625
