variant_id,variant_name,sector,sample_size,avg_fwd_5d_return,avg_fwd_10d_return,avg_fwd_15d_return,avg_excess_5d_return,avg_excess_10d_return,avg_excess_15d_return,win_rate_10d
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,Information Technology,15,-0.0029431719237103266,-0.03432568894221569,-0.02535309821668914,-0.0035994661038000714,-0.020393539504644273,-0.011579406323567043,0.26666666666666666
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,Financials,7,0.013349284303008984,0.021034807836293603,0.030450080996454614,0.004094415229164983,0.007816641416442116,0.0057745115150491366,0.7142857142857143
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,Industrials,7,0.018400850184174384,0.01578325366182633,-0.00144560896839501,-8.98835306019403e-05,0.009807008602926841,0.012765687846330158,0.5714285714285714
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,Consumer Discretionary,5,0.022091052653697284,0.013620125576899511,-0.018909639791227794,0.006537548640065016,0.01838596594476627,0.0033678893148261667,0.6
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,Communication Services,3,0.0035215608933318134,-0.017990282147567076,-0.021865354626013096,-0.020465268610232974,-0.014720888270728483,-0.028375022915573145,0.3333333333333333
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,Consumer Staples,3,0.0033490418048444104,-0.01235480160988541,-0.01968093210273869,0.005507589645574258,-0.005694852643761905,-0.0079204903410565,0.3333333333333333
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,Health Care,3,0.0015576225936602128,0.0019856274774791758,0.010737471099536858,0.01746885254146872,0.02244221729349934,0.0725297331088069,0.6666666666666666
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,Energy,1,0.1255339835453959,0.12912624322094945,0.17582524864419002,0.10782962065924484,0.1668289967543395,0.18130388407447817,1.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,Real Estate,1,0.0025023368977030724,-0.0013169824011481923,0.023706085137933375,-0.017064808547114563,-0.02110276821511803,-0.005152708878619627,0.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,Information Technology,17,0.026080322334938986,0.0672435491709254,0.09782765149947054,0.020792369594745383,0.06430968329984661,0.07744758014007565,0.6470588235294118
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,Consumer Discretionary,9,0.017673027439446827,-0.006884539074727771,-0.018986497781798863,0.012881389667525956,0.00502634656897664,-0.0011310075523296437,0.4444444444444444
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,Financials,9,-0.007045072574188145,-0.027646152505286,6.502683122099217e-05,-0.014874957246296346,-0.023934234865515564,-0.0002533287375453059,0.5555555555555556
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,Health Care,6,-0.0191416283181363,-0.01748224309227388,-0.03555175786282627,-0.0018756581047345937,0.020610288493018197,0.020604319850527575,0.3333333333333333
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,Industrials,4,-0.001728133726440706,-0.024985947160039407,-0.0359521296683569,-0.01018643964666946,-0.013724733841425446,-0.027643640266762415,0.25
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,Consumer Staples,3,-0.04260687363468759,-0.05921954003909006,-0.09714878193029945,-0.03134946883719011,-0.0479133172080376,-0.10040815962880649,0.3333333333333333
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,Communication Services,2,-0.04755771136211712,-0.017799558507814894,-0.001974745782300835,-0.011266801375491242,0.011957774814233935,0.013164093926122722,0.5
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,Energy,2,-0.022879924108239913,-0.04479703045310107,-0.01204290367030214,-0.023911835240632562,-0.03300996289559888,-0.022915117166545595,0.5
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,Real Estate,2,0.020144533429305667,-0.009817649550635799,0.004804267161985232,0.035545969049249504,-0.01698952611359389,-0.013876338257762855,0.5
