date,ticker,open,high,low,close,adj_close,volume,display_name,sector,is_benchmark,is_active,ret_5d,ret_10d,ret_20d,ret_60d,ma_20,ma_50,ma_20_prev,ma_50_prev,low_10,high_10,high_20,prior_high_20,atr_14,atr_pct,high_252,distance_from_52w_high,volume_ratio_20d,extension_vs_ma20,extension_vs_ma50,close_above_ma20,days_above_ma20_15,benchmark_close,benchmark_ma_20,benchmark_ma_50,benchmark_ret_5d,benchmark_ret_10d,benchmark_ret_20d,benchmark_ret_60d,qqq_close,qqq_ma_20,qqq_ma_50,qqq_ma_20_prev,rs_5d,rs_10d,rs_20d,rs_60d,ma_20_slope_5d,ma_50_slope_5d,spy_above_ma20,spy_above_ma50,qqq_above_ma20,qqq_above_ma50,qqq_ma20_slope_5d,sector_close,sector_ret_10d,sector_ret_20d,sector_ret_60d,sector_ma_20,sector_ma_50,stock_vs_sector_20d,stock_vs_sector_60d,sector_above_ma20,sector_above_ma50,trend_score,momentum_score,rs_score,proximity_score,risk_penalty,extension_penalty,refined_score,regime,regime_supportive,fwd_5d_return,fwd_10d_return,fwd_15d_return,spy_fwd_5d_return,spy_fwd_10d_return,spy_fwd_15d_return,excess_5d_return,excess_10d_return,excess_15d_return,instrument_type,etf_subgroup,sector_confirmation,prev_close,pullback_from_high_20,pullback_depth_band,extension_band,oversold_extension_band,signal_sample_ready,review_week,variant_id,variant_name,top_n,rank_score
2021-04-16,QQQ,342.1499938964844,342.2300109863281,340.0799865722656,342.010009765625,331.8967590332031,40860100.0,Invesco QQQ Trust,ETF,False,True,0.01453538793563891,0.05373263717489807,0.09604538007948604,0.05633635411212534,326.2589996337891,323.5799987792969,320.8294967651367,321.87919860839844,326.8800048828125,342.2300109863281,342.2300109863281,342.010009765625,4.440708705357143,0.012984148354021284,342.010009765625,0.0,0.8553090099759642,0.048277626516098314,0.05695658277969958,1,15.0,417.260009765625,402.01899871826174,394.15779968261717,0.014022259758891265,0.04156168099367519,0.06585265672784812,0.08692592629101692,342.010009765625,326.2589996337891,323.5799987792969,320.8294967651367,0.0005131281767476459,0.01217095618122288,0.030192723351637918,-0.030589572178891578,0.016923328195808107,0.005283970440623786,1,1,1,1,0.016923328195808107,,,,,,,,,0.0,0.0,3,2,2,1,0,0,8,Risk-on,True,-0.007572867062181965,-0.011754099051091704,-0.02283558181219858,-0.001246272154242889,9.581082875920188e-05,0.011647378703490752,-0.006326594907939076,-0.011849909879850906,-0.03448296051568933,Broad ETF,Broad ETF,Not applicable,341.6099853515625,0.0,0-3%,4-6%,> -2%,True,2021-04-16,top1_all_supportive_balanced,Top 1 All ETFs / Supportive Balanced RS,1,0.030855293150941543
2021-04-23,QQQ,335.8500061035156,340.7699890136719,335.8500061035156,339.4200134277344,329.3833312988281,36381900.0,Invesco QQQ Trust,ETF,False,True,-0.007572867062181965,0.006852446312923144,0.09022589556739824,0.0625802874191681,332.1105026245117,324.1352001953125,326.2589996337891,323.5799987792969,333.9700012207031,342.2300109863281,342.2300109863281,342.2300109863281,4.373567853655134,0.012885415357472155,342.010009765625,0.00757286706218194,0.892425863594017,0.022009273255314373,0.04715567214918891,1,15.0,416.739990234375,408.2024978637695,396.71219970703123,-0.001246272154242889,0.012758512052771342,0.06938664916689419,0.11305784075808734,339.4200134277344,332.1105026245117,324.1352001953125,326.2589996337891,-0.006326594907939076,-0.005906065739848199,0.020839246400504052,-0.050477553338919234,0.017935146608340835,0.0017158088204156652,1,1,1,1,0.017935146608340835,,,,,,,,,0.0,0.0,3,1,1,1,0,0,6,Risk-on,True,-0.004213137519257781,-0.015379179229849771,-0.03838901144251794,0.001343757670769108,0.012909739907098317,-0.0003839412244056595,-0.005556895190026889,-0.028288919136948087,-0.03800507021811228,Broad ETF,Broad ETF,Not applicable,335.20001220703125,0.008210844953355093,0-3%,2-4%,> -2%,True,2021-04-23,top1_all_supportive_balanced,Top 1 All ETFs / Supportive Balanced RS,1,-0.0038581852604959903
2021-04-30,QQQ,337.70001220703125,340.260009765625,337.04998779296875,337.989990234375,327.9957275390625,38263400.0,Invesco QQQ Trust,ETF,False,True,-0.004213137519257781,-0.011754099051091704,0.04134695938417621,0.03557198718632004,337.5635009765625,324.6555999755859,332.1105026245117,324.1352001953125,333.9700012207031,342.79998779296875,342.79998779296875,342.79998779296875,4.465000697544643,0.013210452458809337,342.010009765625,0.011754099051091713,1.069625421166023,0.0012634341585469246,0.0410724172316505,1,15.0,417.2999877929687,413.5254959106445,399.33479858398437,0.001343757670769108,9.581082875920188e-05,0.04166147388153485,0.0928374522006501,337.989990234375,337.5635009765625,324.6555999755859,332.1105026245117,-0.005556895190026889,-0.011849909879850906,-0.00031451449735864223,-0.05726546501433005,0.016419228867977198,0.0016055022100649463,1,1,1,1,0.016419228867977198,,,,,,,,,0.0,0.0,3,1,0,1,0,0,5,Risk-on,True,-0.011213284821587899,-0.034320470786408874,-0.032486111381985205,0.011550461215469987,-0.0017253804020245234,-0.00565536884878437,-0.022763746037057886,-0.03259509038438435,-0.026830742533200835,Broad ETF,Broad ETF,Not applicable,340.2200012207031,0.01403149862857845,0-3%,0-2%,> -2%,True,2021-04-30,top1_all_supportive_balanced,Top 1 All ETFs / Supportive Balanced RS,1,-0.04545705458139225
2021-06-25,QQQ,350.4700012207031,350.7200012207031,348.8399963378906,349.4599914550781,339.5198669433594,28682800.0,Invesco QQQ Trust,ETF,False,True,0.01993400016032343,0.024088622248105596,0.04980769745573177,0.09503959548837493,340.6190017700195,335.49780334472655,336.6430038452148,334.5674035644531,337.45001220703125,351.4599914550781,351.4599914550781,351.4599914550781,3.6871446881975447,0.010550978018528093,349.8900146484375,0.0012290239085315244,0.8436916672696649,0.025955656141074333,0.041616332420529506,1,15.0,426.6099853515625,422.1234985351563,418.4313983154297,0.028174037273485553,0.005420536414891153,0.017458028232161915,0.07640097849062388,349.4599914550781,340.6190017700195,335.49780334472655,336.6430038452148,-0.008240037113162124,0.018668085833214443,0.032349669223569855,0.018638616997751045,0.011810724950139795,0.0027809038488537663,1,1,1,1,0.011810724950139795,,,,,,,,,0.0,0.0,3,2,2,1,0,0,8,Risk-on,True,0.02626916790999645,0.03708585328664782,0.014908779545729445,0.016666313760287155,0.024542325731252923,-0.003844223499616106,0.009602854149709295,0.012543527555394896,0.01875300304534555,Broad ETF,Broad ETF,Not applicable,349.8900146484375,0.005690548138124649,0-3%,2-4%,> -2%,True,2021-06-25,top1_all_supportive_balanced,Top 1 All ETFs / Supportive Balanced RS,1,0.06283911024315926
2021-07-02,QQQ,356.5199890136719,358.9700012207031,356.2799987792969,358.6400146484375,348.4388427734375,32727200.0,Invesco QQQ Trust,ETF,False,True,0.02626916790999645,0.04672681766764941,0.0686531827350898,0.07031165399396588,346.14500122070314,337.18880249023437,340.6190017700195,335.49780334472655,340.1499938964844,358.9700012207031,358.9700012207031,355.2300109863281,3.6171460832868303,0.010085729242545884,358.6400146484375,0.0,0.9564908483350067,0.03609762782553518,0.06361780699649539,1,15.0,433.7200012207031,424.42199859619143,419.91939819335937,0.016666313760287155,0.045309908378866615,0.02631328669328914,0.061686117900556114,358.6400146484375,346.14500122070314,337.18880249023437,340.6190017700195,0.009602854149709295,0.0014169092887827972,0.04233989604180066,0.008625536093409769,0.016223403339120424,0.005040268903848233,1,1,1,1,0.016223403339120424,,,,,,,,,0.0,0.0,3,2,2,1,0,0,8,Risk-on,True,0.010539813252579355,-0.011069599204078684,0.02746479808058533,0.007746899709734079,-0.02017430594709302,0.016831107102330822,0.0027929135428452767,0.009104706743014335,0.010633690978254506,Broad ETF,Broad ETF,Not applicable,354.57000732421875,-0.009599424476105475,Outside tracked band,2-4%,> -2%,True,2021-07-02,top1_all_supportive_balanced,Top 1 All ETFs / Supportive Balanced RS,1,0.061637933818748894
2021-07-09,QQQ,358.1700134277344,361.5,357.57000732421875,361.010009765625,350.7413330078125,35184500.0,Invesco QQQ Trust,ETF,False,True,0.018162851646720046,0.031781401730943015,0.06070222797594349,0.07280615520787603,350.6635009765625,338.80320251464843,344.99300079345704,336.7200024414062,348.8399963378906,362.760009765625,362.760009765625,362.760009765625,3.542146955217638,0.009811769367606376,361.010009765625,0.0,0.9647279111938681,0.02950551956576184,0.06554485638315782,1,15.0,435.5199890136719,426.6269989013672,421.2105987548828,0.011825375611602906,0.024511839003876323,0.028115493198832553,0.05850036721964935,361.010009765625,350.6635009765625,338.80320251464843,344.99300079345704,0.00633747603511714,0.007269562727066692,0.03258673477711094,0.014305787988226681,0.016436565872535835,0.00618674286688603,1,1,1,1,0.016436565872535835,,,,,,,,,0.0,0.0,3,2,2,1,0,0,8,Risk-on,True,-0.009445731613711206,0.019916352031552176,0.0098612156513469,-0.009597705687970248,0.010148818743645815,0.006865404177486045,0.00015197407425904252,0.00976753328790636,0.0029958114738608543,Broad ETF,Broad ETF,Not applicable,358.7699890136719,0.004824126014139912,0-3%,2-4%,> -2%,True,2021-07-09,top1_all_supportive_balanced,Top 1 All ETFs / Supportive Balanced RS,1,0.05722052944199698
2021-07-16,QQQ,361.3999938964844,362.4100036621094,357.239990234375,357.6000061035156,347.4283752441406,47262000.0,Invesco QQQ Trust,ETF,False,True,-0.009445731613711206,0.008545558611014359,0.03550127380446666,0.0539656255635641,355.2470016479492,341.45240295410156,350.6635009765625,338.80320251464843,354.4200134277344,365.489990234375,365.489990234375,365.489990234375,3.7414332798549146,0.010462620850101075,363.0700073242187,0.015065968299106568,1.293587093032374,0.006623573020042658,0.04729093428457918,1,15.0,431.3399963378906,429.47049713134766,422.9719982910156,-0.009597705687970248,0.0021141734488627772,0.02220535841429805,0.036700528143988276,357.6000061035156,355.2470016479492,341.45240295410156,350.6635009765625,0.00015197407425904252,0.006431385162151582,0.013295915390168611,0.017265097419575826,0.01307093740472598,0.007819289840799604,1,1,1,1,0.01307093740472598,,,,,,,,,0.0,0.0,3,1,1,1,0,0,6,Risk-on,True,0.029642074727614043,0.01949105453506461,0.02922254337553909,0.019937882358534553,0.016622649159846903,0.025849663817751,0.00970419236907949,0.0028684053752177086,0.003372879557788089,Broad ETF,Broad ETF,Not applicable,360.5199890136719,0.021587415091176163,0-3%,0-2%,> -2%,True,2021-07-16,top1_all_supportive_balanced,Top 1 All ETFs / Supportive Balanced RS,1,0.0331044390619924
2021-07-23,QQQ,365.30999755859375,368.489990234375,363.9200134277344,368.2000122070313,357.7268371582031,31960800.0,Invesco QQQ Trust,ETF,False,True,0.029642074727614043,0.019916352031552176,0.052330723347424835,0.08613572922428103,358.99600372314455,344.9224029541016,355.2470016479492,341.45240295410156,352.0400085449219,368.489990234375,368.489990234375,365.489990234375,4.277145385742192,0.011616364051984988,368.2000122070313,0.0,0.849282333203969,0.025638192036769373,0.06748651016451154,1,14.0,439.94000244140625,432.43999633789065,424.71659790039064,0.019937882358534553,0.010148818743645815,0.034909423958646046,0.054000979574790886,368.2000122070313,358.99600372314455,344.9224029541016,355.2470016479492,0.00970419236907949,0.00976753328790636,0.017421299388778788,0.032134749649490146,0.010553226509454339,0.01016247058148978,1,1,1,1,0.010553226509454339,,,,,,,,,0.0,0.0,3,2,1,1,0,0,7,Risk-on,True,-0.00985878534075535,-0.00040745358253346797,0.0016838541462045331,-0.003250426576000498,0.005796217163290152,0.013592787546353069,-0.006608358764754851,-0.0062036707458236195,-0.011908933400148536,Broad ETF,Broad ETF,Not applicable,363.9500122070313,-0.007414763865129306,Outside tracked band,2-4%,> -2%,True,2021-07-23,top1_all_supportive_balanced,Top 1 All ETFs / Supportive Balanced RS,1,0.05368062708071329
2021-07-30,QQQ,362.44000244140625,365.1700134277344,362.4100036621094,364.5700073242187,354.2000732421875,36484600.0,Invesco QQQ Trust,ETF,False,True,-0.00985878534075535,0.01949105453506461,0.0282031750949987,0.10801449313672151,362.1280044555664,349.21940246582034,358.99600372314455,344.9224029541016,352.0400085449219,368.8900146484375,368.8900146484375,368.8900146484375,4.348571777343758,0.01192794714315732,368.489990234375,0.010637963076454354,0.9307346966316269,0.006743479760212654,0.04395690717642983,1,14.0,438.510009765625,435.32749633789064,427.3733984375,-0.003250426576000498,0.016622649159846903,0.018771965772213184,0.05474446125225496,364.5700073242187,362.1280044555664,349.21940246582034,358.99600372314455,-0.006608358764754851,0.0028684053752177086,0.009431209322785516,0.05327003188446655,0.008724333140034624,0.012457873060482294,1,1,1,1,0.008724333140034624,,,,,,,,,0.0,0.0,3,1,1,1,0,0,6,Risk-on,True,0.009545438184263899,0.011657568956900954,0.008667755434141222,0.009076145082474119,0.016898140286626173,0.011060125146355793,0.00046929310178978056,-0.005240571329725219,-0.0023923697122145704,Broad ETF,Broad ETF,Not applicable,366.4800109863281,0.011710827489694712,0-3%,0-2%,> -2%,True,2021-07-30,top1_all_supportive_balanced,Top 1 All ETFs / Supportive Balanced RS,1,0.0519047561259153
2021-08-06,QQQ,368.3699951171875,369.3699951171875,366.9100036621094,368.0499877929687,357.5810852050781,33332100.0,Invesco QQQ Trust,ETF,False,True,0.009545438184263899,-0.00040745358253346797,0.019500783460032478,0.16144394199763235,363.97350311279297,352.83980224609377,362.1280044555664,349.21940246582034,360.1600036621094,369.9100036621094,369.9100036621094,369.9100036621094,3.870001656668535,0.010514880546186689,369.6700134277344,0.004382356090352391,0.9028719432816529,0.01119994902187275,0.04310790746976538,1,14.0,442.489990234375,437.04849700927736,429.6787982177734,0.009076145082474119,0.005796217163290152,0.01600386066432491,0.0914629294721847,368.0499877929687,363.97350311279297,352.83980224609377,362.1280044555664,0.00046929310178978056,-0.0062036707458236195,0.003496922795707569,0.06998101252544764,0.005096260533623109,0.010367120940904195,1,1,1,1,0.005096260533623109,,,,,,,,,0.0,0.0,3,2,1,1,0,0,7,Risk-on,True,0.002092160186901504,-0.0008693840979572265,0.021709064031942393,0.0077516401931321255,0.001966135136134195,0.017537141939673484,-0.005659480006230622,-0.0028355192340914215,0.004171922092268909,Broad ETF,Broad ETF,Not applicable,369.6700134277344,0.005028292965117253,0-3%,0-2%,> -2%,True,2021-08-06,top1_all_supportive_balanced,Top 1 All ETFs / Supportive Balanced RS,1,0.052498602408796266
