variant_id,variant_name,ticker,trade_count,avg_5d_return_net,avg_5d_excess_net,win_rate_5d
top2_all_supportive_strict_rs,Top 2 All ETFs / Supportive Strict RS,XLI,34,-0.0008625698560688514,0.0013300272681451774,0.47058823529411764
top2_all_supportive_strict_rs,Top 2 All ETFs / Supportive Strict RS,XLF,26,0.0008918789891951757,0.0008577101288063489,0.5
top2_all_supportive_strict_rs,Top 2 All ETFs / Supportive Strict RS,XLY,26,0.003601337123460797,0.0021211567673879096,0.5
top2_all_supportive_strict_rs,Top 2 All ETFs / Supportive Strict RS,XLE,17,0.009791243067504281,0.011726027653766102,0.5882352941176471
top2_all_supportive_strict_rs,Top 2 All ETFs / Supportive Strict RS,XLV,10,-0.014913945544777716,-0.0152331766389457,0.3
top2_sector_supportive_strict_rs,Top 2 Sector ETFs / Supportive Strict RS,XLK,54,0.006915208062583918,0.0028969813811445524,0.6111111111111112
top2_sector_supportive_strict_rs,Top 2 Sector ETFs / Supportive Strict RS,XLI,35,-0.00022916858968630865,0.001524516780986145,0.4857142857142857
top2_sector_supportive_strict_rs,Top 2 Sector ETFs / Supportive Strict RS,XLY,32,0.004799123425886096,0.0035618645842734153,0.53125
top2_sector_supportive_strict_rs,Top 2 Sector ETFs / Supportive Strict RS,XLF,26,0.0008918789891951757,0.0008577101288063489,0.5
top2_sector_supportive_strict_rs,Top 2 Sector ETFs / Supportive Strict RS,XLE,17,0.009791243067504281,0.011726027653766102,0.5882352941176471
top2_sector_supportive_strict_rs,Top 2 Sector ETFs / Supportive Strict RS,XLV,12,-0.011901749127154727,-0.012209147800105846,0.4166666666666667
