date,ticker,open,high,low,close,adj_close,volume,display_name,sector,is_benchmark,is_active,ret_5d,ret_10d,ret_20d,ret_60d,ma_20,ma_50,ma_20_prev,ma_50_prev,low_10,high_10,high_20,prior_high_20,atr_14,atr_pct,high_252,distance_from_52w_high,volume_ratio_20d,extension_vs_ma20,extension_vs_ma50,close_above_ma20,days_above_ma20_15,benchmark_close,benchmark_ma_20,benchmark_ma_50,benchmark_ret_5d,benchmark_ret_10d,benchmark_ret_20d,benchmark_ret_60d,qqq_close,qqq_ma_20,qqq_ma_50,qqq_ma_20_prev,rs_5d,rs_10d,rs_20d,rs_60d,ma_20_slope_5d,ma_50_slope_5d,spy_above_ma20,spy_above_ma50,qqq_above_ma20,qqq_above_ma50,qqq_ma20_slope_5d,sector_close,sector_ret_10d,sector_ret_20d,sector_ret_60d,sector_ma_20,sector_ma_50,stock_vs_sector_20d,stock_vs_sector_60d,sector_above_ma20,sector_above_ma50,trend_score,momentum_score,rs_score,proximity_score,risk_penalty,extension_penalty,refined_score,regime,regime_supportive,fwd_5d_return,fwd_10d_return,fwd_15d_return,spy_fwd_5d_return,spy_fwd_10d_return,spy_fwd_15d_return,excess_5d_return,excess_10d_return,excess_15d_return,instrument_type,etf_subgroup,sector_confirmation,prev_close,pullback_from_high_20,pullback_depth_band,extension_band,oversold_extension_band,signal_sample_ready,review_week,variant_id,variant_name,top_n,rank_score,portfolio_weight,friction_bps,trade_return_net,spy_trade_return_net,trade_excess_net
2021-04-01,XLI,98.62000274658205,98.86000061035156,98.13999938964844,98.77999877929688,91.5304718017578,11189300.0,Industrial Select Sector SPDR Fund,ETF,False,True,0.022038253696743615,0.016150598802700644,0.08216476884639334,0.1320192111052365,96.46599960327148,92.29560012817383,94.84500045776367,91.38860046386719,93.9499969482422,99.26000213623048,99.26000213623048,99.26000213623048,1.5042860848563089,0.015228650571431163,98.77999877929688,0.0,0.7745564106513361,0.023987717802562585,0.070256855604362,1,14.0,400.6099853515625,392.14850158691405,387.9354010009766,0.027995824487516696,0.023321687210112074,0.06347218574389224,0.07885169482157783,324.57000732421875,315.01099853515626,321.123798828125,313.98399810791017,-0.005957570790773081,-0.00717108840741143,0.018692583102501104,0.05316751628365868,0.017091034189300025,0.009924647709921297,1,1,1,1,0.003270868685776529,,,,,,,,,0.0,0.0,3,2,1,1,0,0,7,Risk-on,True,0.017513700934527643,0.023891482481433135,0.028143336846037093,0.02715859634218698,0.04156168099367519,0.040263611673726274,-0.009644895407659337,-0.017670198512242052,-0.012120274827689181,Sector ETF,Sector ETF,Not applicable,98.4499969482422,0.004835818523102811,0-3%,2-4%,> -2%,True,2021-04-02,top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,1,0.06790954303742215,1.0,20,0.015513700934527643,0.02515859634218698,-0.009644895407659336
2021-04-09,XLK,69.95500183105469,70.90499877929688,69.83000183105469,70.88500213623047,68.22991180419922,9401000.0,Technology Select Sector SPDR Fund,ETF,False,True,0.04642758151226678,0.09576440657017149,0.07109401343847854,0.0984813803990412,66.83325004577637,66.69979995727539,65.58974990844726,66.39039993286133,64.62999725341797,70.90499877929688,70.90499877929688,70.2249984741211,1.1649998256138392,0.016435067934044527,70.88500213623047,0.0,0.6163834336379735,0.06062479510840665,0.0627468475413107,1,12.0,411.489990234375,397.3209991455078,390.5227996826172,0.02715859634218698,0.055914748126226765,0.045638176278272935,0.08638488309463743,337.1099853515625,320.8294967651367,321.87919860839844,315.01099853515626,0.0192689851700798,0.039849658443944724,0.025455837160205608,0.012096497304403764,0.01895875710861583,0.004660312706761038,1,1,1,1,0.018470778026917323,,,,,,,,,0.0,0.0,3,2,1,1,0,1,6,Risk-on,True,0.010792119159116709,0.006559869138424768,-0.014601165703857277,0.014022259758891265,0.012758512052771342,0.01411941407197892,-0.003230140599774556,-0.006198642914346575,-0.028720579775836197,Sector ETF,Sector ETF,Not applicable,70.20999908447266,-0.009398414758992066,Outside tracked band,6%+,> -2%,True,2021-04-09,top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,1,0.06400900875307816,1.0,20,0.008792119159116709,0.012022259758891264,-0.003230140599774556
2021-04-16,XLK,71.72000122070312,71.78500366210938,71.3499984741211,71.6500015258789,68.96625518798828,11695600.0,Technology Select Sector SPDR Fund,ETF,False,True,0.010792119159116709,0.05772075266333343,0.10239246862170259,0.08857492947562462,68.06650009155274,67.20460006713867,66.83325004577637,66.69979995727539,68.04499816894531,71.78500366210938,71.78500366210938,71.72000122070312,0.9796436854771206,0.01367262616349405,71.66500091552734,0.00020929867378523465,0.8146962408172875,0.05264706470152253,0.06614727941687318,1,15.0,417.260009765625,402.01899871826174,394.15779968261717,0.014022259758891265,0.04156168099367519,0.06585265672784812,0.08692592629101692,342.010009765625,326.2589996337891,323.5799987792969,320.8294967651367,-0.003230140599774556,0.016159071669658243,0.03653981189385447,0.0016490031846077002,0.018452642134441755,0.007568240237401547,1,1,1,1,0.016923328195808107,,,,,,,,,0.0,0.0,3,2,2,1,0,0,8,Risk-on,True,-0.004187062740668046,-0.025122163481150483,-0.029797656535420103,-0.001246272154242889,9.581082875920188e-05,0.011647378703490752,-0.002940790586425157,-0.025217974309909685,-0.041445035238910855,Sector ETF,Sector ETF,Not applicable,71.66500091552734,0.0009760135754712204,0-3%,4-6%,> -2%,True,2021-04-16,top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,1,0.06461790419081799,1.0,20,-0.006187062740668046,-0.003246272154242889,-0.002940790586425157
2021-04-30,XLF,36.380001068115234,36.5099983215332,36.20000076293945,36.2599983215332,33.23427963256836,43940900.0,Financial Select Sector SPDR Fund,ETF,False,True,0.024872731115065827,0.024293693745340628,0.051929127863070246,0.20026479379041517,35.276000022888184,34.3607999420166,34.83450012207031,33.93940002441406,34.41999816894531,36.61000061035156,36.61000061035156,36.61000061035156,0.5171429770333427,0.014262079453165181,36.58000183105469,0.008748045202387512,1.0067602082168416,0.02789427083588191,0.055272239957203484,1,14.0,417.2999877929687,413.5254959106445,399.33479858398437,0.001343757670769108,9.581082875920188e-05,0.04166147388153485,0.0928374522006501,337.989990234375,337.5635009765625,324.6555999755859,332.1105026245117,0.02352897344429672,0.024197882916581426,0.010267653981535396,0.10742734158976508,0.012674213761378228,0.01241624534609942,1,1,1,1,0.016419228867977198,,,,,,,,,0.0,0.0,3,2,1,1,0,0,7,Risk-on,True,0.04191948505582288,0.04467740820660726,0.036403849162276236,0.011550461215469987,-0.0017253804020245234,-0.00565536884878437,0.030369023840352893,0.046402788608631784,0.042059218011060606,Sector ETF,Sector ETF,Not applicable,36.58000183105469,0.009560291805059283,0-3%,2-4%,> -2%,True,2021-04-30,top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,1,0.10878834387133489,1.0,20,0.03991948505582288,0.009550461215469987,0.030369023840352893
2021-06-04,XLF,38.41999816894531,38.5,38.130001068115234,38.470001220703125,35.259864807128906,27250900.0,Financial Select Sector SPDR Fund,ETF,False,True,0.014504300588501495,0.03386192333329707,0.023682792610004055,0.11442644005096136,37.685500144958496,36.24240005493164,37.32099990844726,35.79400001525879,37.220001220703125,38.599998474121094,38.599998474121094,38.599998474121094,0.5071419307163784,0.01318278956652212,38.470001220703125,0.0,0.543555346916981,0.02081705358100649,0.06146395278445042,1,15.0,422.6000061035156,416.61299896240234,412.89079833984374,0.007894291519324748,0.017626679218203822,0.008423410689388566,0.08475799750849089,335.6000061035156,328.56300354003906,331.0132025146484,328.51500396728517,0.006610009069176748,0.01623524411509325,0.015259381920615489,0.029668442542470475,0.009766625690774466,0.012527240305126641,1,1,1,1,0.000146110747375916,,,,,,,,,0.0,0.0,3,2,1,1,0,0,7,Risk-on,True,-0.023654791227882277,-0.08422151223439911,-0.040031215665742526,0.004046359276812739,-0.018173195846807544,0.009488829129511656,-0.027701150504695016,-0.06604831638759157,-0.04952004479525418,Sector ETF,Sector ETF,Not applicable,38.369998931884766,0.003367804625824632,0-3%,2-4%,> -2%,True,2021-06-04,top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,1,0.04495763925425492,1.0,20,-0.02565479122788228,0.0020463592768127387,-0.027701150504695016
2021-06-25,XLE,27.600000381469727,27.684999465942383,27.44499969482422,27.670000076293945,23.23330307006836,38330000.0,Energy Select Sector SPDR Fund,ETF,False,True,0.05630847103087255,-0.0007222989302246852,0.06198425454623191,0.1280064941603487,27.448750019073486,26.276399993896483,27.12775001525879,25.960099983215333,26.145000457763672,28.274999618530273,28.325000762939453,28.325000762939453,0.656785828726632,0.02373638695033211,28.094999313354492,0.015127220055083986,0.6523968819752256,0.008060478421302156,0.05303618770916753,1,10.0,426.6099853515625,422.1234985351563,418.4313983154297,0.028174037273485553,0.005420536414891153,0.017458028232161915,0.07640097849062388,349.4599914550781,340.6190017700195,335.49780334472655,336.6430038452148,0.028134433757387,-0.006142835345115838,0.044526226314069994,0.05160551566972482,0.011832901867428802,0.012184082915152716,1,1,1,1,0.011810724950139795,,,,,,,,,0.0,0.0,3,2,2,1,0,0,8,Risk-on,True,-0.011745600362968345,-0.046440182286556,-0.1514275577341746,0.016666313760287155,0.024542325731252923,-0.003844223499616106,-0.0284119141232555,-0.07098250801780892,-0.1475833342345585,Sector ETF,Sector ETF,Not applicable,27.524999618530273,0.023124471985981845,0-3%,0-2%,> -2%,True,2021-06-25,top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,1,0.08378681555519761,1.0,20,-0.013745600362968345,0.014666313760287155,-0.0284119141232555
2021-07-02,XLK,74.30999755859375,75.00499725341797,74.29000091552734,74.93000030517578,72.25562286376953,12780000.0,Technology Select Sector SPDR Fund,ETF,False,True,0.031880500027684944,0.05468368268504875,0.07027564660506114,0.06722690901938755,71.98750038146973,70.14619995117188,70.79225006103516,69.8375,70.48500061035156,75.00499725341797,75.00499725341797,74.01000213623047,0.7817846025739398,0.010433532622312535,74.93000030517578,0.0,1.020369057428095,0.0408751506596759,0.06819756960938526,1,15.0,433.7200012207031,424.42199859619143,419.91939819335937,0.016666313760287155,0.045309908378866615,0.02631328669328914,0.061686117900556114,358.6400146484375,346.14500122070314,337.18880249023437,340.6190017700195,0.015214186267397789,0.009373774306182137,0.043962359911772,0.005540791118831434,0.01688391482689222,0.004420260621755823,1,1,1,1,0.016223403339120424,,,,,,,,,0.0,0.0,3,2,2,1,0,0,8,Risk-on,True,0.009742471025762978,-0.010876850902000523,0.030561869827847365,0.007746899709734079,-0.02017430594709302,0.016831107102330822,0.001995571316028899,0.009297455045092495,0.013730762725516543,Sector ETF,Sector ETF,Not applicable,73.95500183105469,-0.012430727501559434,Outside tracked band,4-6%,> -2%,True,2021-07-02,top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,1,0.06515698574409566,1.0,20,0.007742471025762978,0.0057468997097340786,0.001995571316028899
2021-07-09,XLK,74.81999969482422,75.66999816894531,74.70999908447266,75.5999984741211,72.90168762207031,9775800.0,Technology Select Sector SPDR Fund,ETF,False,True,0.02224321009178376,0.039889981397709384,0.07135259489143597,0.07302528577607137,73.02449989318848,70.46360000610352,71.74150047302246,70.05360000610352,72.49500274658203,75.77999877929688,75.77999877929688,75.77999877929688,0.806070055280413,0.010662302533727453,75.625,0.00033059868930785123,0.7451390799752733,0.03526896568548568,0.07289435208494403,1,15.0,435.5199890136719,426.6269989013672,421.2105987548828,0.011825375611602906,0.024511839003876323,0.028115493198832553,0.05850036721964935,361.010009765625,350.6635009765625,338.80320251464843,344.99300079345704,0.010417834480180854,0.01537814239383306,0.04323710169260342,0.014524918556422017,0.01788364352162497,0.0058526613901965785,1,1,1,1,0.016436565872535835,,,,,,,,,0.0,0.0,3,2,2,1,0,0,8,Risk-on,True,-0.005952340705353665,0.02195772084145764,0.014550244660357148,-0.009597705687970248,0.010148818743645815,0.006865404177486045,0.0036453649826165835,0.011808902097811824,0.0076848404828711026,Sector ETF,Sector ETF,Not applicable,74.91000366210938,0.002375300977504864,0-3%,2-4%,> -2%,True,2021-07-09,top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,1,0.07432685926283172,1.0,20,-0.007952340705353665,-0.011597705687970248,0.0036453649826165835
2021-07-16,XLK,76.05000305175781,76.41000366210938,75.07499694824219,75.1500015258789,72.46776580810547,15080400.0,Technology Select Sector SPDR Fund,ETF,False,True,-0.005952340705353665,0.01615847022158312,0.04811722070402813,0.056441966248336195,74.15825042724609,71.10850021362305,73.02449989318848,70.46360000610352,74.0999984741211,76.91999816894531,76.91999816894531,76.91999816894531,0.9085709708077567,0.012090099166463466,76.52999877929688,0.018032108655818897,1.1873835186405606,0.01337344250867661,0.056835698968680896,1,15.0,431.3399963378906,429.47049713134766,422.9719982910156,-0.009597705687970248,0.0021141734488627772,0.02220535841429805,0.036700528143988276,357.6000061035156,355.2470016479492,341.45240295410156,350.6635009765625,0.0036453649826165835,0.014044296772720344,0.02591186228973008,0.01974143810434792,0.015525618603563496,0.009152246088245164,1,1,1,1,0.01307093740472598,,,,,,,,,0.0,0.0,3,1,1,1,0,0,6,Risk-on,True,0.028077186527068143,0.02062535450288072,0.030339304497708275,0.019937882358534553,0.016622649159846903,0.025849663817751,0.00813930416853359,0.004002705343033819,0.004489640679957274,Sector ETF,Sector ETF,Not applicable,75.9000015258789,0.023010877342701262,0-3%,0-2%,> -2%,True,2021-07-16,top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,1,0.053724344847126494,1.0,20,0.02607718652706814,0.01793788235853455,0.00813930416853359
2021-07-23,XLK,76.83999633789062,77.30000305175781,76.56500244140625,77.26000213623047,74.50244903564453,12576200.0,Technology Select Sector SPDR Fund,ETF,False,True,0.028077186527068143,0.02195772084145764,0.06272359531506888,0.09008821356233465,75.11025047302246,71.90090011596679,74.15825042724609,71.10850021362305,73.68499755859375,77.30000305175781,77.30000305175781,76.91999816894531,1.041785648890904,0.013484152473280438,77.26000213623047,0.0,0.9510406378888685,0.028621282044321496,0.07453456092510863,1,14.0,439.94000244140625,432.43999633789065,424.71659790039064,0.019937882358534553,0.010148818743645815,0.034909423958646046,0.054000979574790886,368.2000122070313,358.99600372314455,344.9224029541016,355.2470016479492,0.00813930416853359,0.011808902097811824,0.027814171356422834,0.036087233987543765,0.01283741242938774,0.011143532769826825,1,1,1,1,0.010553226509454339,,,,,,,,,0.0,0.0,3,2,1,1,0,0,7,Risk-on,True,-0.007248319602694786,0.0022003386518882895,0.003041685268623029,-0.003250426576000498,0.005796217163290152,0.013592787546353069,-0.003997893026694288,-0.003595878511401862,-0.01055110227773004,Sector ETF,Sector ETF,Not applicable,76.5,-0.004420228489064435,Outside tracked band,2-4%,> -2%,True,2021-07-23,top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,1,0.06972287048811357,1.0,20,-0.009248319602694786,-0.005250426576000498,-0.003997893026694288
