variant_id,variant_name,review_week,gross_return,strategy_return_net,spy_exposure_return_net,trade_count
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2023-06-02,-0.005332530989788031,-0.007332530989788031,0.0026269873028137453,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2023-06-09,0.04325045582887865,0.04125045582887865,0.02023772434129345,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2023-06-16,-0.03320053074048168,-0.035200530740481684,-0.020249645404846084,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2023-06-23,0.0263523764930349,0.0243523764930349,0.021245094810475873,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2023-06-30,0.0004711255650722279,-0.0015288744349277721,-0.010166384964709006,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2023-07-07,0.03276851397390512,0.03076851397390512,0.022467019233833874,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2023-07-14,-0.022524596859421542,-0.024524596859421544,0.004454758512205672,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2023-07-28,-0.02983206976546715,-0.03183206976546715,-0.024126445706103006,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2023-11-17,0.00875268500008497,0.00675268500008497,0.006185634933030039,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2023-11-24,0.006344548265879935,0.0043445482658799345,0.006346185838851383,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2023-12-01,0.005819602437755478,0.0038196024377554778,0.0003960054212408543,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2023-12-08,0.037261358229694785,0.035261358229694784,0.01783914411789933,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2023-12-15,0.0015065509935667798,-0.0004934490064332202,0.007204626697240759,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2023-12-22,-0.012981958360372192,-0.014981958360372192,-0.004111263618465364,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2023-12-29,-0.016053989261822665,-0.018053989261822667,-0.0034937439959710197,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-01-19,0.007893299922604458,0.0058932999226044575,0.008322764052679734,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-01-26,0.002428775678632311,0.0004287756786323111,0.012238530988825104,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-02-02,0.027689827396270683,0.02568982739627068,0.011856591522082962,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-02-09,-0.025355990697307096,-0.027355990697307098,-0.005371912211183714,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-02-16,0.01702958702887858,0.015029587028878579,0.010972673904553922,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-02-23,-0.010280023442354347,-0.012280023442354347,0.007845366589210425,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-03-08,-0.0021259372832592716,-0.004125937283259272,-0.005693454709467803,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-03-22,-0.0017570579211866333,-0.0037570579211866333,-0.00017741192258790943,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-03-29,0.038872979838875166,0.036872979838875164,-0.010870733522217456,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-05-24,-0.010525182215826101,-0.012525182215826101,-0.0050976402252850255,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-06-07,0.035057048742629826,0.033057048742629824,0.014422949702944889,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-06-14,-0.023059691844439567,-0.02505969184443957,-0.002073766646410789,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-06-21,-0.009544275205192965,-0.011544275205192965,-0.002532660662427187,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-06-28,0.03642313419431775,0.03442313419431775,0.01832277238826885,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-07-05,0.00395052451758704,0.0019505245175870396,0.007645852164720914,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-08-30,-0.017271554143804435,-0.019271554143804437,-0.03263798565790754,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-09-13,0.02187243769387126,0.01987243769387126,0.009102987715427393,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-09-27,-0.013294155634485105,-0.015294155634485105,0.000642325656704525,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-10-04,0.021474457826522686,0.019474457826522684,0.009518790963157777,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-10-11,0.006140775283627553,0.004140775283627553,0.00664420721539183,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-10-18,-0.027787824063001176,-0.029787824063001178,-0.011493916374144984,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-10-25,0.00021441821368606284,-0.0017855817863139372,-0.015815971787050298,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-11-08,-0.0078095607749809615,-0.009809560774980962,-0.022796072135332524,1
top1_all_risk_on_strict_rs,Top 1 All ETFs / Risk-on Strict RS,2024-11-22,0.028152220164241015,0.026152220164241013,0.011635362939379059,1
