variant,date,portfolio_label,count,avg_fwd_1w_return,avg_fwd_2w_return,avg_fwd_3w_return
baseline,2021-03-19,top2,2,0.038594168200319356,0.051494965869951614,0.04629405780860407
baseline,2021-03-19,top5,5,0.03135546263988862,0.04173093549840825,0.03869200972452171
baseline,2021-03-26,top2,2,0.021216006388387387,0.034684325040342134,-0.0008254098527238907
baseline,2021-03-26,top5,5,0.014688052468875657,0.023923895428486386,0.015334642285609745
baseline,2021-04-09,top2,2,0.015814611894188202,0.03539492949083933,0.03383732329378508
baseline,2021-04-09,top5,5,-0.0056641918384309434,-0.010327261936099142,-0.02098807476720612
baseline,2021-04-16,top2,2,0.002287000436050013,0.02236700328782204,-0.018132473341326394
baseline,2021-04-16,top5,5,-0.0010105260599907906,0.035407410299266286,0.04561147913415873
baseline,2021-04-23,top2,2,-0.009209416407991278,-0.028190933644580918,-0.039901745309579295
baseline,2021-04-23,top5,5,0.003282434994707173,-0.0037225499253363825,-0.018713775889618665
baseline,2021-04-30,top2,2,-0.027722923719917303,-0.05475243683518144,-0.05160661705726982
baseline,2021-04-30,top5,5,-0.00984030606606352,-0.02822368338090784,-0.026037974205002822
baseline,2021-05-07,top2,2,-0.002818080520344768,-0.005037772945077068,-0.0073982959364934375
baseline,2021-05-07,top5,5,-0.01708375989996467,-0.025501655174723314,-0.021801620704853787
baseline,2021-05-14,top2,2,-0.0008591071896665858,-0.013516916592707429,-0.005716221294932766
baseline,2021-05-14,top5,5,-1.258367590817322e-05,-0.00021318764497471054,0.0036718306769077057
baseline,2021-05-21,top2,2,0.009332866488015457,0.022541908850194137,-0.002964342878591819
baseline,2021-05-21,top5,5,0.0075702372529482306,0.018167373559430745,-0.009973707794516274
baseline,2021-05-28,top2,2,0.022594251863056525,0.011342443990078777,0.0058979626825056974
baseline,2021-05-28,top5,5,0.008468730488076259,-0.03216295531697226,-0.056125559156943575
baseline,2021-06-04,top2,2,0.004301487663126158,-0.019452999700636797,0.01585970687020788
baseline,2021-06-04,top5,5,-0.012200126495214758,-0.06496011626832936,-0.016296977236897447
baseline,2021-06-11,top2,2,-0.024833936070971563,0.007799797125673025,0.03160006163642404
baseline,2021-06-11,top5,5,-0.010385854771505332,0.008127808824356908,0.03018394436272227
baseline,2021-06-18,top2,2,0.011528912303060412,0.03676441563974586,0.033748955316144635
baseline,2021-06-18,top5,5,0.019618767077933884,0.05159206083368306,0.05709181927391338
baseline,2021-06-25,top2,2,0.00894040881900765,-6.895722341249133e-05,-0.08165445626546669
baseline,2021-06-25,top5,5,0.01760698704003134,0.024577794180223166,-0.01863382285131874
baseline,2021-07-02,top2,2,0.017049694620986156,0.014689241700285738,0.0465708552875268
baseline,2021-07-02,top5,5,0.026095474079640902,0.007260554099929495,0.04806985778145041
baseline,2021-07-09,top2,2,-0.004289058350781916,0.021281641644884775,0.010068460403687363
baseline,2021-07-09,top5,5,0.002459247777833062,0.033585127336433776,0.03734971893170154
baseline,2021-07-16,top2,2,0.023720908898738124,0.011001213164678503,0.020000785990954784
baseline,2021-07-16,top5,5,0.023565648277698293,0.01567320479711576,0.023494768914857377
baseline,2021-07-23,top2,2,-0.00834219300110911,-0.0024743418201342293,0.01117175794782943
baseline,2021-07-23,top5,5,0.025171450631387947,0.04174685257800179,0.05107202807657556
baseline,2021-07-30,top2,2,0.025254630105026377,0.034100195718578474,0.050411055905120405
baseline,2021-07-30,top5,5,0.009718453892390677,0.020422809355998762,0.024752436333224458
baseline,2021-08-06,top2,2,-0.021357929453797386,-0.07520946167884046,-0.004195535735793288
baseline,2021-08-06,top5,5,-0.005857565378303353,-0.022123106357047173,0.0023760797281747736
baseline,2021-08-13,top2,2,0.004855170459345692,0.029665513910760444,0.027788433206009322
baseline,2021-08-13,top5,5,-0.0007369885279903566,0.0322868836146212,0.03133304994120709
baseline,2021-08-20,top2,2,-0.00232341218954335,0.026423396294983026,0.011393407671687283
baseline,2021-08-20,top5,5,0.008537345002901509,0.02585054089353056,0.0038907229546193854
baseline,2021-08-27,top2,2,-0.010817809706982817,-0.02839116893237098,-0.052856473127464054
baseline,2021-08-27,top5,5,-0.02180552941364311,-0.04101015871004783,-0.08136959306556366
baseline,2021-09-03,top2,2,-0.02438852411572262,-0.052593940630953295,-0.06135534134057252
baseline,2021-09-03,top5,5,-0.02335469813966253,-0.04222491166827953,-0.06704704235994637
baseline,2021-09-10,top2,2,-0.01733722533600135,-0.021130877856258445,-0.06993964654336737
baseline,2021-09-10,top5,5,-0.014477308619876195,-0.0021380419898698877,-0.04196257579070071
baseline,2021-09-17,top2,2,0.002910082400903957,-0.05987058716476418,-0.06476963152995852
baseline,2021-09-17,top5,5,0.03723002886447384,0.021763802663621455,0.04042578682751481
baseline,2021-09-24,top2,2,-0.05636462064668529,-0.05997963830801917,-0.01725242153633194
baseline,2021-09-24,top5,5,-0.030118553534417992,-0.02555321427361843,-0.007079770526123829
baseline,2021-10-01,top2,2,0.02386822494707852,0.03662904928530514,0.06602362995528133
baseline,2021-10-01,top5,5,0.022585624896938095,0.02456163600161241,0.04477731001020526
baseline,2021-10-08,top2,2,0.024775390561424637,0.07047963580209227,0.03488022392184459
baseline,2021-10-08,top5,5,0.006438712318011542,0.016099480811330634,0.007496779298902268
baseline,2021-10-15,top2,2,0.003735909555874495,-0.028930141932834497,0.01838512725330721
baseline,2021-10-15,top5,5,-0.006930657138942564,-0.017476372582789668,0.005802837313866082
baseline,2021-10-22,top2,2,-0.0006309390092654743,0.006816355056979473,-0.01584835476348523
baseline,2021-10-22,top5,5,-0.03148866869765521,-0.02828085844413042,-0.039204022481396074
baseline,2021-10-29,top2,2,0.03910260956222045,0.04700669813886105,0.050172359973751246
baseline,2021-10-29,top5,5,0.017732445071809134,0.0193516078839844,0.0065873887057597
baseline,2021-11-05,top2,2,-0.00010394972931454527,0.021156915933919662,0.015105692341255084
baseline,2021-11-05,top5,5,-0.0024933464976968577,-0.012837151386653024,-0.023031597941461833
baseline,2021-11-12,top2,2,-0.008206534152505107,-0.008921462841942895,0.003526264316238703
baseline,2021-11-12,top5,5,-0.010242468121324611,-0.01342762268554576,-0.0033031010893919354
baseline,2021-11-19,top2,2,-0.01627877123926813,-0.08206934505565983,-0.060630331119918335
baseline,2021-11-19,top5,5,-0.017732078239442384,-0.05010438483717985,-0.014130046909953254
baseline,2021-11-26,top2,2,-0.012188625966847944,0.035912363818058624,-0.034159754978999646
baseline,2021-11-26,top5,5,-0.0014080959165416295,0.032319527904140874,-0.036006402072213485
baseline,2021-12-03,top2,2,0.0822558321769522,0.07366267777762636,0.12258502594955978
baseline,2021-12-03,top5,5,0.053124735933821075,0.029758687829801088,0.06841844573985552
baseline,2021-12-10,top2,2,0.026374905472212995,0.062008476578645944,0.05702828462629428
baseline,2021-12-10,top5,5,-0.029836873513643725,0.00605325611737102,0.001353139135476944
baseline,2021-12-17,top2,2,0.020988188763377047,0.019178015645505808,0.0362794989119673
baseline,2021-12-17,top5,5,0.015402740136780757,0.017747463377070626,0.022939763824573765
baseline,2021-12-31,top2,2,-0.017125492166274014,-0.010935455964437735,-0.056876412223272055
baseline,2021-12-31,top5,5,-0.04025924937289547,-0.038634861431564624,-0.09991521517809476
baseline,2022-01-07,top2,2,0.026453561013705884,-0.005014036087374607,0.027526927085766872
baseline,2022-01-07,top5,5,0.016900694109141145,-0.012205763355208487,0.019228784288837942
baseline,2022-01-14,top2,2,-0.03336720265783344,-0.01370900917103235,-0.0006229810156648807
baseline,2022-01-14,top5,5,-0.03386428280489251,-0.004638086462793778,0.012257708670946355
baseline,2022-01-21,top2,2,0.044143492946700946,0.05976077059843721,0.08054467778953567
baseline,2022-01-21,top5,5,0.013783436905404556,0.020769156543150168,0.037353960965143186
baseline,2022-01-28,top2,2,0.034719145083459635,0.056479970849023564,0.07247247069654428
baseline,2022-01-28,top5,5,0.0207763139316957,0.03201182170651651,0.02835766340324084
baseline,2022-02-04,top2,2,0.0011064401542429936,-0.012010849917110045,-0.01694240785550183
baseline,2022-02-04,top5,5,0.01507057504252014,-0.00029354179522671496,-0.045633775524303255
baseline,2022-02-11,top2,2,0.024187227953137547,-0.050422989287534914,-0.11468353972131196
baseline,2022-02-11,top5,5,-0.004406588358446051,-0.004472765113193699,0.009822697369036603
baseline,2022-02-18,top2,2,0.01211106399153894,-0.07290759101382838,-0.028660908914105998
baseline,2022-02-18,top5,5,-0.008527020660602024,-0.05748290440815249,-0.036893435405219034
baseline,2022-02-25,top2,2,0.0074802226971614205,-0.0010961888569545053,0.048432737755797706
baseline,2022-02-25,top5,5,0.028863550966928896,-0.004140020882392581,0.017550700398176033
baseline,2022-03-04,top2,2,-0.008513682684175128,0.04065940097519616,0.06402483532709258
baseline,2022-03-04,top5,5,-0.01418784840919558,0.03182354371615768,0.07042101463921902
baseline,2022-03-11,top2,2,-0.012595426372044749,0.05088314565214014,0.02810358992460943
baseline,2022-03-11,top5,5,0.017229160735645777,0.06809688297029219,0.04830096689600618
baseline,2022-03-18,top2,2,0.020496636831658255,0.028112528854663754,0.014200037734736215
baseline,2022-03-18,top5,5,0.03997648076030784,0.026629382716118765,0.03786044394777703
baseline,2022-03-25,top2,2,0.0026812535867314358,0.008952752207080639,-0.039792904895712466
baseline,2022-03-25,top5,5,0.0032962491747106303,0.02796709182184378,0.008328541011631718
baseline,2022-04-01,top2,2,0.07023676770098408,0.0003026454321750083,-0.03237083257745371
baseline,2022-04-01,top5,5,0.02323918235907312,-0.022850928862362774,-0.05908362469145869
baseline,2022-04-08,top2,2,-0.0406409860675484,-0.06457259897091594,-0.12333792027677992
baseline,2022-04-08,top5,5,-0.03848200180696522,-0.06301904209571041,-0.09612308682878776
baseline,2022-04-22,top2,2,-0.04681360645472471,-0.028361541236268772,-0.033463435185835166
baseline,2022-04-22,top5,5,-0.022326008772636373,-0.007102459860995824,-0.016855083125951742
baseline,2022-04-29,top2,2,-0.013375625636494581,-0.0648412578310098,-0.07773591752294307
baseline,2022-04-29,top5,3,-0.0100446180287177,-0.03676303657198695,-0.03355807334029137
baseline,2022-05-06,top2,2,-0.023042306501832255,-0.04178396442369564,0.02804429692912125
baseline,2022-05-06,top5,5,-0.02488086242419705,-0.05267567408085818,0.011188755575181685
baseline,2022-05-13,top2,2,-0.07515518526293358,-0.027647214934410913,-0.05128517878614208
baseline,2022-05-13,top5,5,-0.024683850206729453,0.0075042614301887856,-0.01914986628005839
baseline,2022-05-20,top2,2,0.03869593909208252,-0.012283447143005888,-0.05836273145367099
baseline,2022-05-20,top5,5,0.05321356267564174,0.0342643552318207,-0.015282461828120718
baseline,2022-05-27,top2,2,0.008893810135599534,-0.045645141564558345,-0.07153844241258012
baseline,2022-05-27,top5,5,-0.00940161048044832,-0.06590550085899785,-0.06719500485251355
baseline,2022-06-03,top2,2,-0.0238661690333708,-0.10407959544793238,-0.07880651896569896
baseline,2022-06-03,top5,5,-0.029745121030893884,-0.09560048321848418,-0.04295932763244355
baseline,2022-06-10,top2,2,-0.17019048462079195,-0.16216948539334358,-0.21565598765715377
baseline,2022-06-10,top5,3,-0.17065042332394445,-0.16455156087839248,-0.21520192260381962
baseline,2022-06-17,top2,1,0.04597654460564282,-0.0012613888378936178,-0.03010003633171554
baseline,2022-06-17,top5,1,0.04597654460564282,-0.0012613888378936178,-0.03010003633171554
baseline,2022-06-24,top2,2,-0.004293311812725242,-0.012302468583886839,-0.02335214847058681
baseline,2022-06-24,top5,5,-0.014827070730366664,-0.007190199161870714,-0.03240836362344177
baseline,2022-07-01,top2,2,-0.026288996568422873,-0.0314693316476613,-0.13184260391267916
baseline,2022-07-01,top5,5,-0.006470386809462436,-0.026208080355903808,-0.0653101395359805
baseline,2022-07-08,top2,2,-0.0035163523973881783,-0.01193635965230827,0.05345838513453027
