variant_id,variant_name,action_role,sample_size,avg_fwd_5d_return,avg_fwd_10d_return,avg_fwd_15d_return,avg_excess_5d_return,avg_excess_10d_return,avg_excess_15d_return,win_rate_15d,supportive_regime_share,sector_confirmed_share,avg_pullback_from_high_20,avg_extension_vs_ma20,avg_atr_pct
strict_rs_support_proximity,Strict RS + Support-Proximity Pullback,live_buy_pullback,186,0.008932999839504473,0.022150183983871218,0.025852135893129635,0.005727475438839094,0.01659279866695741,0.01910802065939101,0.5806451612903226,1.0,1.0,0.04625953223262305,0.018533650859503734,0.026352908503859497
watch_only_extended_strength,Watch-Only Extended Strength,watch_only,1045,0.005645032517548546,0.012147175916301602,0.01666459350718069,0.002452000444319776,0.00579998931823029,0.00922360837344968,0.5885167464114832,1.0,1.0,0.01680041350451311,0.08291803112105235,0.028284120406107345
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,583,0.008426187639002358,0.011306364852509139,0.01123265580025865,0.005922984125420019,0.00799077927374809,0.008987043554601018,0.5317324185248714,1.0,1.0,0.04121049580732864,0.0219797401096831,0.02585152490889362
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,593,0.007952590459348855,0.011946772833832907,0.010163046618688717,0.004753588319509004,0.007627390470942508,0.007649054714816031,0.5227655986509275,1.0,1.0,0.04781309015982725,0.019938917888104,0.027608740479454684
supportive_confirmed_controlled,Supportive + Confirmed Controlled Pullback,live_buy_pullback,701,0.0070423560157887154,0.009928934098932885,0.008876845159556026,0.004470958552314013,0.006769394440717031,0.00647897314331754,0.5106990014265336,1.0,1.0,0.046792289584117665,0.019412390312684144,0.027029130187542938
shallow_confirmed_reset,Shallow Confirmed Reset,live_buy_pullback,2362,0.005029111417503683,0.007462004533227732,0.008314016190409397,0.0023751715217355663,0.003172980414022918,0.003146256245135829,0.5389500423370025,1.0,1.0,0.01960981181314078,0.03795605127460655,0.021953382436376866
baseline_current_v1,Current v1 Pullback,live_buy_pullback,3707,0.0025220056691008237,0.003838532977985309,0.005930068803351928,0.0005396147782557954,-0.00025128473393650115,7.433161621703403e-05,0.5227947127056919,0.5157809549500945,0.4599406528189911,0.03769232317712934,0.02262792518448364,0.024846973818954437
deeper_controlled_confirmed,Deeper Controlled Confirmed Pullback,live_buy_pullback,171,0.005248301505281367,0.010032211229423335,0.005511699375615151,0.0010446024685187316,0.004274032373102859,-0.0007286532472025347,0.5029239766081871,1.0,1.0,0.0722545123022192,0.013667015717555067,0.0343371854840936
