variant_id,variant_name,action_role,ticker,sample_size,avg_fwd_15d_return,avg_excess_15d_return,win_rate_15d
baseline_current_v1,Current v1 Pullback,live_buy_pullback,AVGO,67,0.02510781222294992,0.012252967578574785,0.6268656716417911
baseline_current_v1,Current v1 Pullback,live_buy_pullback,META,66,0.0245249738527903,0.012896323090088634,0.6666666666666666
baseline_current_v1,Current v1 Pullback,live_buy_pullback,AMAT,65,0.024323908345226977,0.019379272276336176,0.6
baseline_current_v1,Current v1 Pullback,live_buy_pullback,NVDA,64,0.03120284379848305,0.022334934911749336,0.53125
baseline_current_v1,Current v1 Pullback,live_buy_pullback,LRCX,58,0.031829273848319246,0.023163737358515256,0.6206896551724138
baseline_current_v1,Current v1 Pullback,live_buy_pullback,GE,56,0.012237649659039862,0.006636045686975388,0.625
baseline_current_v1,Current v1 Pullback,live_buy_pullback,CAT,54,0.02975028618735934,0.023027308448940232,0.5740740740740741
baseline_current_v1,Current v1 Pullback,live_buy_pullback,NFLX,54,0.04133890041411475,0.029397425471288537,0.6296296296296297
baseline_current_v1,Current v1 Pullback,live_buy_pullback,AMZN,51,-0.006025549990863744,-0.01387059369413427,0.5098039215686274
baseline_current_v1,Current v1 Pullback,live_buy_pullback,BNY,51,0.00751978017975958,0.0036293682332294006,0.6666666666666666
baseline_current_v1,Current v1 Pullback,live_buy_pullback,GOOGL,51,0.01452791881782028,0.006930410329753533,0.6470588235294118
baseline_current_v1,Current v1 Pullback,live_buy_pullback,IBM,51,0.0030413341686773153,-0.007158150852039282,0.5294117647058824
baseline_current_v1,Current v1 Pullback,live_buy_pullback,LLY,51,-0.0009098766287341988,-0.001527414308403166,0.4117647058823529
baseline_current_v1,Current v1 Pullback,live_buy_pullback,BAC,50,-0.0015245126232643692,-0.013088853000982255,0.54
baseline_current_v1,Current v1 Pullback,live_buy_pullback,MS,50,0.0026144180654338344,-0.0025671734124192522,0.6
baseline_current_v1,Current v1 Pullback,live_buy_pullback,GM,49,-0.008550315492105677,-0.020257264299392085,0.42857142857142855
baseline_current_v1,Current v1 Pullback,live_buy_pullback,GOOG,49,0.010496793198934158,0.005275693493479991,0.6326530612244898
baseline_current_v1,Current v1 Pullback,live_buy_pullback,COF,48,-0.009820257245679864,-0.018082240535486245,0.4375
baseline_current_v1,Current v1 Pullback,live_buy_pullback,MU,48,0.015478030159279848,0.008408294910849911,0.4583333333333333
baseline_current_v1,Current v1 Pullback,live_buy_pullback,ISRG,47,0.008094026839118014,-0.004008252220819164,0.6382978723404256
