variant_id,variant_name,active_weeks,active_share,total_trades,avg_trades_per_active_week,strategy_ann_return_net,spy_exposure_ann_return_net,ann_excess_vs_spy_exposure_net,spy_buy_hold_ann_return,ann_excess_vs_spy_buy_hold,strategy_max_drawdown,spy_exposure_max_drawdown,spy_buy_hold_max_drawdown,avg_week_return_net,avg_week_exposure_spy_net,avg_week_excess_net,win_rate_week,exposure_spy_win_rate_week,excess_win_rate_week,return_vol_week,excess_vol_week,sharpe_like_week,information_like_week
strict_rs_support_proximity,Strict RS + Support-Proximity Pullback,101,0.3686131386861314,183,1.811881188118812,0.14139531989271958,0.030614786598742727,0.11078053329397686,0.14272826501972635,-0.0013329451270067683,-0.10774494450252081,-0.07447972934131797,-0.25360573583036905,0.007298312690254618,0.0016172882687819081,0.005681024421472709,0.6138613861386139,0.6633663366336634,0.5544554455445545,0.027904253015538734,0.02448896643365362,0.26154839859681916,0.23198302128691067
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,169,0.6167883211678832,503,2.9763313609467454,0.13601428051370923,0.0336770357050824,0.10233724480862683,0.14272826501972635,-0.006713984506017123,-0.16828606826705095,-0.1600010067140235,-0.25360573583036905,0.0042722294409255354,0.0010816712087947731,0.0031905582321307626,0.5502958579881657,0.6449704142011834,0.48520710059171596,0.024472445761067094,0.02157848796741034,0.17457304768950277,0.14785828538817983
shallow_confirmed_reset,Shallow Confirmed Reset,191,0.6970802919708029,897,4.696335078534031,0.11949386594159206,0.038890607787604115,0.08060325815398794,0.14272826501972635,-0.023234399078134294,-0.191853552094141,-0.1700606082624121,-0.25360573583036905,0.0032613996156928794,0.0011069375617944002,0.002154462053898479,0.5549738219895288,0.643979057591623,0.5287958115183246,0.016928261421879708,0.01301399644691691,0.19266004549513477,0.16554961135008484
supportive_confirmed_controlled,Supportive + Confirmed Controlled Pullback,171,0.6240875912408759,569,3.327485380116959,0.10141783632467671,0.03307543753557307,0.06834239878910364,0.14272826501972635,-0.04131042869504964,-0.1660239204466386,-0.1559002848396186,-0.25360573583036905,0.003197318488348362,0.001051460164480185,0.0021458583238681767,0.5263157894736842,0.631578947368421,0.5029239766081871,0.02096274184842047,0.01795270311670889,0.15252386884634933,0.11952842476802222
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,146,0.5328467153284672,485,3.3219178082191783,0.08185886023315803,0.02552782715382751,0.05633103307933052,0.14272826501972635,-0.060869404786568326,-0.15509021240535026,-0.16737570027753357,-0.25360573583036905,0.0030781835551122977,0.0009543201993348121,0.0021238633557774857,0.5205479452054794,0.6301369863013698,0.5136986301369864,0.0217576284758828,0.01901942651823848,0.14147606015629435,0.11166810701368042
baseline_current_v1,Current v1 Pullback,267,0.9744525547445255,1288,4.823970037453184,0.18815893519788807,0.1551746262069884,0.03298430899089966,0.14272826501972635,0.045430670178161714,-0.25163673098785033,-0.22243380071809338,-0.25360573583036905,0.003574011554663743,0.0029220783690328345,0.000651933185630908,0.5580524344569289,0.6816479400749064,0.4794007490636704,0.018273835938806653,0.015816158296348488,0.19558080561913696,0.041219439854836386
deeper_controlled_confirmed,Deeper Controlled Confirmed Pullback,97,0.354014598540146,170,1.7525773195876289,0.01109214029476413,0.024550269732456886,-0.013458129437692756,0.14272826501972635,-0.13163612472496222,-0.2871848820353019,-0.132344758944969,-0.25360573583036905,0.0010590954334723454,0.0013565163386730203,-0.00029742090520067365,0.4639175257731959,0.6494845360824743,0.422680412371134,0.030729915839027056,0.027983178875623807,0.0344646382704144,-0.010628560340575084
