variant_id,variant_name,review_week,gross_return,trade_return_net,spy_trade_return_net,trade_count,strategy_return_net,spy_exposure_return_net
baseline_current_v1,Current v1 Pullback,2021-04-02,-0.040913622072687006,-0.04291362207268701,0.03821901693401086,5,-0.01430454069089567,0.012739672311336955
baseline_current_v1,Current v1 Pullback,2021-04-09,-0.042987795790099884,-0.044987795790099885,0.01740314446005149,5,-0.014995931930033296,0.005801048153350496
baseline_current_v1,Current v1 Pullback,2021-04-16,-0.00037710214213866334,-0.0023771021421386653,0.010884300971794448,5,-0.0007923673807128884,0.0036281003239314828
baseline_current_v1,Current v1 Pullback,2021-04-23,0.023712825754585977,0.021712825754585975,-0.006750028863615175,5,0.007237608584861992,-0.002250009621205058
baseline_current_v1,Current v1 Pullback,2021-04-30,-0.02538718533651243,-0.02738718533651243,-0.010342005579919976,5,-0.009129061778837476,-0.0034473351933066586
baseline_current_v1,Current v1 Pullback,2021-05-07,0.002235339673829673,0.0002353396738296723,8.237642915227723e-05,5,7.844655794322411e-05,2.7458809717425742e-05
baseline_current_v1,Current v1 Pullback,2021-05-14,0.030248661346401383,0.02824866134640138,0.020046764255310334,5,0.00941622044880046,0.006682254751770111
baseline_current_v1,Current v1 Pullback,2021-05-21,0.00884996734997554,0.006849967349975538,0.02306359232502535,5,0.0022833224499918463,0.0076878641083417834
baseline_current_v1,Current v1 Pullback,2021-05-28,-0.0243169339992656,-0.0263169339992656,0.0033179654214531965,5,-0.008772311333088534,0.0011059884738177323
baseline_current_v1,Current v1 Pullback,2021-06-04,-0.013100882920460707,-0.015100882920460709,0.008933805254851844,3,-0.00503362764015357,0.002977935084950615
baseline_current_v1,Current v1 Pullback,2021-06-11,0.003972463564168871,0.0019724635641688694,0.013764089145719981,5,0.0006574878547229565,0.0045880297152399935
baseline_current_v1,Current v1 Pullback,2021-06-18,0.051960240617098384,0.04996024061709838,0.04064122416364539,5,0.016653413539032793,0.01354707472121513
baseline_current_v1,Current v1 Pullback,2021-06-25,-0.03322646328823466,-0.035226463288234665,0.021937770314386727,5,-0.011742154429411554,0.007312590104795576
baseline_current_v1,Current v1 Pullback,2021-07-02,-0.053382390540151724,-0.055382390540151726,0.01243876291500934,5,-0.018460796846717243,0.004146254305003113
baseline_current_v1,Current v1 Pullback,2021-07-09,0.044849456153501256,0.042849456153501254,0.012232151930189042,3,0.014283152051167085,0.004077383976729681
baseline_current_v1,Current v1 Pullback,2021-07-16,0.03100231328902452,0.029002313289024518,0.01928750288701724,5,0.009667437763008173,0.006429167629005746
baseline_current_v1,Current v1 Pullback,2021-07-23,0.05176317051598596,0.04976317051598596,0.03302202102494136,5,0.016587723505328653,0.01100734034164712
baseline_current_v1,Current v1 Pullback,2021-07-30,0.007385581117361384,0.005385581117361382,0.007166605815865747,5,0.0017951937057871274,0.0023888686052885824
baseline_current_v1,Current v1 Pullback,2021-08-06,0.04325582521586644,0.04125582521586644,0.01701264339354571,5,0.013751941738622146,0.005670881131181904
baseline_current_v1,Current v1 Pullback,2021-08-13,0.02621756136921023,0.024217561369210227,0.016534213743876248,5,0.00807252045640341,0.005511404581292082
baseline_current_v1,Current v1 Pullback,2021-08-20,-0.046503812968379465,-0.04850381296837947,0.010471353210642721,5,-0.01616793765612649,0.0034904510702142406
baseline_current_v1,Current v1 Pullback,2021-08-27,-0.043192762346125325,-0.04519276234612533,-0.01418221947960889,5,-0.01506425411537511,-0.004727406493202964
baseline_current_v1,Current v1 Pullback,2021-09-03,-0.023961980623371338,-0.02596198062337134,-0.029606067130938874,5,-0.00865399354112378,-0.009868689043646291
baseline_current_v1,Current v1 Pullback,2021-09-10,-0.08429931884663273,-0.08629931884663274,-0.039305933451085864,5,-0.028766439615544245,-0.013101977817028621
baseline_current_v1,Current v1 Pullback,2021-09-17,-0.010860042754303767,-0.012860042754303769,-0.02964191825735065,5,-0.004286680918101257,-0.009880639419116884
baseline_current_v1,Current v1 Pullback,2021-09-24,0.008311911519017823,0.006311911519017821,-0.0008065817413414927,5,0.0021039705063392736,-0.00026886058044716423
baseline_current_v1,Current v1 Pullback,2021-10-01,0.00778967129836512,0.005789671298365118,0.019772073291977454,5,0.0019298904327883727,0.006590691097325818
baseline_current_v1,Current v1 Pullback,2021-10-08,0.1436311274258278,0.14163112742582779,0.04961659473049233,5,0.04721037580860926,0.01653886491016411
baseline_current_v1,Current v1 Pullback,2021-10-15,0.03494645249060964,0.03294645249060964,0.06183820058868421,5,0.010982150830203213,0.020612733529561403
baseline_current_v1,Current v1 Pullback,2021-10-22,0.019660380105293473,0.01766038010529347,0.03249314632702123,5,0.0058867933684311575,0.010831048775673743
baseline_current_v1,Current v1 Pullback,2021-10-29,-0.007210604982766022,-0.009210604982766024,0.026809792973399915,5,-0.003070201660922008,0.008936597657799972
baseline_current_v1,Current v1 Pullback,2021-11-05,0.01559987063613737,0.013599870636137368,-0.0033091792544753793,5,0.0045332902120457895,-0.001103059751491793
baseline_current_v1,Current v1 Pullback,2021-11-12,0.0006429162023166679,-0.0013570837976833333,-0.01995617653139532,5,-0.0004523612658944444,-0.00665205884379844
baseline_current_v1,Current v1 Pullback,2021-11-19,-0.055098931485340265,-0.05709893148534027,-0.00443641700568047,5,-0.01903297716178009,-0.0014788056685601566
baseline_current_v1,Current v1 Pullback,2021-11-26,0.004288714948145311,0.0022887149481453095,-0.0010678164113085736,5,0.0007629049827151032,-0.00035593880376952455
baseline_current_v1,Current v1 Pullback,2021-12-03,0.035813132240693976,0.033813132240693974,0.032438082456440885,5,0.011271044080231324,0.010812694152146961
baseline_current_v1,Current v1 Pullback,2021-12-10,0.0362105238090362,0.0342105238090362,0.01805937536371336,5,0.011403507936345399,0.0060197917879044535
baseline_current_v1,Current v1 Pullback,2021-12-17,0.014029696756056542,0.012029696756056541,0.011592577946292294,5,0.0040098989186855135,0.0038641926487640982
baseline_current_v1,Current v1 Pullback,2021-12-24,-0.012067077385022018,-0.01406707738502202,0.018416820438140146,5,-0.00468902579500734,0.006138940146046715
baseline_current_v1,Current v1 Pullback,2021-12-31,-0.09775305174418655,-0.09975305174418655,-0.0656050592135509,5,-0.03325101724806218,-0.021868353071183635
baseline_current_v1,Current v1 Pullback,2022-01-07,-0.14986629653178343,-0.15186629653178343,-0.06987199711540937,5,-0.050622098843927814,-0.023290665705136455
