strategy_id,strategy_name,regime,sector_confirmation,sample_size,avg_fwd_5d_return,avg_fwd_10d_return,avg_fwd_15d_return,avg_excess_5d_return,avg_excess_10d_return,avg_excess_15d_return,win_rate_5d,win_rate_10d,win_rate_15d
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Defensive,Confirmed,302,-0.001103540730912057,-4.621583872021462e-06,0.00038807206973376124,-0.002872177520741941,-0.00513463877761047,-0.009174046287494705,0.5596026490066225,0.5165562913907285,0.5099337748344371
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Defensive,Unavailable,397,5.209326520725768e-05,0.001659876963623149,0.0017473063881600873,-0.0009834576955795088,-0.002761871728927788,-0.004586021468384412,0.5340050377833753,0.5062972292191436,0.49370277078085645
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Defensive,Unconfirmed,812,0.0007398594424533067,0.001918181355889143,0.006482038513659196,0.000548056606411363,-0.0011418720592541356,-6.460947063121758e-05,0.5135467980295566,0.5307881773399015,0.5529556650246306
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Neutral,Confirmed,78,0.005986405354283637,0.014050070483323442,0.01978100421590489,0.005214667639293364,0.0019586207396467934,0.00462333243177858,0.5897435897435898,0.6153846153846154,0.6282051282051282
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Neutral,Unavailable,84,-0.0038420316464120373,-0.007229774831241472,-0.0008932235085681558,-0.007296639860732166,-0.013780694847796683,-0.01878665569228612,0.4880952380952381,0.44047619047619047,0.44047619047619047
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Neutral,Unconfirmed,100,-0.009097498173028611,-0.020548130661601893,-0.016845932176258988,-0.007073753770664571,-0.011173547649078306,-0.013712646118742018,0.41,0.39,0.4
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Risk-on,Confirmed,1081,0.0056864997193743815,0.008050865618056197,0.007749688227752733,0.002169475931310099,0.003374797963061395,0.004126422885501514,0.5467160037002775,0.5226641998149861,0.5180388529139686
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Risk-on,Unavailable,233,0.0025549642263779197,0.0028292326808872135,0.0069394927841853965,-0.001304100964777247,-0.0031260806303294994,-0.0005009893673614344,0.4721030042918455,0.5064377682403434,0.5278969957081545
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Risk-on,Unconfirmed,202,0.0027691861055916395,0.0019778062438867926,0.010438848640052348,0.0017515233435368004,0.0004849905515890234,0.010627218040950981,0.504950495049505,0.5,0.5396039603960396
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Selective risk-on,Confirmed,238,0.003389603699619074,0.004054474134020174,0.004299851251980345,0.0011007221826716852,-0.001047467122595949,-0.0036132964002065513,0.5546218487394958,0.5462184873949579,0.47478991596638653
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Selective risk-on,Unavailable,67,0.00855799975955116,0.017439672984124972,0.01645843756639044,0.003939966060221113,0.00829823248625166,0.004791800149427649,0.6716417910447762,0.6716417910447762,0.6268656716417911
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Selective risk-on,Unconfirmed,70,0.005225579439095558,0.01691064324294188,0.02387519052222698,0.001653200168608834,0.011861313494455288,0.015603554651727507,0.5428571428571428,0.5714285714285714,0.6142857142857143
