strategy_id,strategy_name,signal_style,sample_size,avg_fwd_5d_return,avg_fwd_10d_return,avg_fwd_15d_return,avg_excess_5d_return,avg_excess_10d_return,avg_excess_15d_return,win_rate_5d,win_rate_10d,win_rate_15d,supportive_regime_share
breakout-confirmation,Breakout Confirmation,Triggered breakout entry,3169,0.0026563538862530113,0.007335859305455751,0.010755211453432813,0.0015414253966537636,0.00393644908755597,0.005283042244294336,0.5288734616598296,0.5575891448406437,0.5642158409592931,0.8122436099715998
etf-trend-rotation,ETF Trend / Rotation,Daily trend entry,239,0.0013723382884697555,0.0043525650769118945,0.004668633439093904,-0.00019493898271116526,6.406474826149752e-05,-0.00034789930160568437,0.5690376569037657,0.5690376569037657,0.5815899581589958,0.7280334728033473
selective-mean-reversion,Selective Mean Reversion,Oversold rebound trigger,253,0.003041656777339092,-0.0007780593836569108,0.009046116037226038,-0.00011867435397682742,9.25864417257378e-06,0.006306974898379426,0.5059288537549407,0.48616600790513836,0.5019762845849802,0.383399209486166
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Daily pullback entry,3664,0.0023390631590370654,0.003746673529693092,0.005938289705356774,0.0003576615415269284,-0.0004207861804396509,-5.142838400235495e-05,0.5305676855895196,0.521561135371179,0.5226528384279476,0.5161026200873362
