strategy_id,strategy_name,regime,etf_subgroup,sample_size,avg_fwd_5d_return,avg_fwd_10d_return,avg_fwd_15d_return,avg_excess_5d_return,avg_excess_10d_return,avg_excess_15d_return,win_rate_5d,win_rate_10d,win_rate_15d
etf-trend-rotation,ETF Trend / Rotation,Defensive,Sector ETF,47,-0.006883390652015196,-0.004574821384760156,0.001175332737429814,-0.002077361860113448,0.0006118871593299158,0.0020975570893286264,0.5106382978723404,0.44680851063829785,0.48936170212765956
etf-trend-rotation,ETF Trend / Rotation,Neutral,Broad ETF,4,-0.012639580548488183,0.009581884253261813,-0.0019027149236836849,-0.006933755121587337,-0.003779364622121334,-0.00882630249093011,0.25,0.5,0.5
etf-trend-rotation,ETF Trend / Rotation,Neutral,Sector ETF,14,0.0016078443188035799,0.014058239475245633,0.01181814143230782,-0.0017726544936088131,0.00551693527193553,0.0051710353261866316,0.42857142857142855,0.6428571428571429,0.5
etf-trend-rotation,ETF Trend / Rotation,Risk-on,Broad ETF,38,0.004191721712297591,0.013868739815136567,0.014268347378658093,0.00040020561730217573,0.0014861330042040821,0.0028714287546559784,0.631578947368421,0.7368421052631579,0.6842105263157895
etf-trend-rotation,ETF Trend / Rotation,Risk-on,Sector ETF,106,0.004937142198453098,0.004208339501922927,0.0015879528198640398,0.0014937783351137639,-0.0008030091315904275,-0.0026525707921599014,0.6132075471698113,0.5566037735849056,0.5754716981132075
etf-trend-rotation,ETF Trend / Rotation,Selective risk-on,Sector ETF,30,-0.00010219282612161651,0.0015680222873388106,0.006406647787735705,-0.0023316847675101783,-0.0015640314394596677,-0.0015588063197691348,0.5333333333333333,0.5666666666666667,0.6666666666666666
