strategy_id,strategy_name,sector_confirmation,pullback_depth_band,extension_band,sample_size,avg_fwd_5d_return,avg_fwd_10d_return,avg_fwd_15d_return,avg_excess_5d_return,avg_excess_10d_return,avg_excess_15d_return,win_rate_5d,win_rate_10d,win_rate_15d
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Confirmed,0-3%,-2% to 0%,6,0.006905163999523807,0.014006359178573105,0.0007472560058162844,-0.0021045803084333383,-0.005331177658048895,-0.01286169645704612,0.6666666666666666,0.6666666666666666,0.6666666666666666
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Confirmed,0-3%,0-2%,193,0.007954810857200676,0.0064419758109480136,0.005864798930310913,0.004565845625809284,0.0018357396230596218,0.0006014248354081601,0.5647668393782384,0.5181347150259067,0.5077720207253886
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Confirmed,0-3%,2-4%,379,0.0017589708182767006,0.0036319903035648598,0.0015436711489124491,-0.0004234221390305911,-0.0011076972418875986,-0.0023147615381589968,0.5488126649076517,0.5145118733509235,0.49076517150395776
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Confirmed,0-3%,4-6%,273,0.0061555069560485995,0.010710217618454115,0.012297792957963564,0.00355730915196245,0.0040777317455638435,0.004273026616371111,0.6043956043956044,0.5641025641025641,0.5457875457875457
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Confirmed,10-15%,-2% to 0%,8,-0.03335321190105747,-0.03042920970897149,-0.05760740347776791,-0.026068935509891117,-0.02487344695771873,-0.0294750081783378,0.25,0.375,0.5
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Confirmed,10-15%,0-2%,5,0.04732465227831908,-0.0013334667989833627,0.03560785687828068,0.037626549529534106,-0.009781505413543567,0.02335339135640191,0.6,0.6,0.6
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Confirmed,10-15%,2-4%,9,-0.013660993081220128,-0.019876614308489342,-0.03652829545434149,-0.01863710656637416,-0.03089499865238332,-0.05309803721002134,0.3333333333333333,0.2222222222222222,0.2222222222222222
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Confirmed,10-15%,4-6%,7,-0.0035512259103237997,0.006824677020971147,-0.005772638559187272,0.002965089241210385,0.009028830992086432,-0.009756253003349908,0.42857142857142855,0.5714285714285714,0.7142857142857143
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Confirmed,10-15%,<-2%,4,-0.022296130924317065,-0.015323180390454216,-0.05274963770854729,-0.020735696556391542,-0.011634151446041852,-0.04731726222038482,0.25,0.25,0.25
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Confirmed,3-6%,-2% to 0%,32,0.005061505038021882,0.0004725164554076622,0.009319190807220424,0.004768062396340523,-0.004002659847543916,-0.001494727247199342,0.5625,0.5,0.4375
