strategy_id,strategy_name,signal_style,sector,sample_size,avg_fwd_5d_return,avg_fwd_10d_return,avg_fwd_15d_return,avg_excess_5d_return,avg_excess_10d_return,avg_excess_15d_return,win_rate_5d,win_rate_10d,win_rate_15d
breakout-confirmation,Breakout Confirmation,Triggered breakout entry,Information Technology,734,0.007688085066631935,0.01947474422273408,0.02647438010621404,0.003873982935009966,0.011123489708897281,0.016059396022392043,0.5504087193460491,0.6185286103542235,0.5980926430517711
breakout-confirmation,Breakout Confirmation,Triggered breakout entry,Financials,514,0.0010624112028890438,0.0022643973696258807,0.0041584353593503405,-0.0008656605208573998,-0.0011169894589840058,-0.0031630965906468064,0.5389105058365758,0.5272373540856031,0.5486381322957199
breakout-confirmation,Breakout Confirmation,Triggered breakout entry,Industrials,435,0.0030325473086926314,0.008865974453045496,0.015537830582409713,0.0026875211293211185,0.007085445397499398,0.010425629200495485,0.5264367816091954,0.5586206896551724,0.5632183908045977
breakout-confirmation,Breakout Confirmation,Triggered breakout entry,Health Care,418,0.0017602041428450455,0.003778285777338639,0.007712795020745309,0.0011907439155753093,0.0035671533510865465,0.004247228904715854,0.5311004784688995,0.5526315789473685,0.5861244019138756
breakout-confirmation,Breakout Confirmation,Triggered breakout entry,Communication Services,277,0.0010555487184227086,0.003956379766593596,0.010079583837504992,-0.00039339964683368455,-0.001877718392814523,0.003122850349722102,0.49097472924187724,0.516245487364621,0.5992779783393501
breakout-confirmation,Breakout Confirmation,Triggered breakout entry,Consumer Discretionary,247,-0.002326264728125173,-0.0038065724594218025,-0.006235226179626139,-0.004387470006619673,-0.007343746207695067,-0.01287623720732827,0.4979757085020243,0.4979757085020243,0.5020242914979757
breakout-confirmation,Breakout Confirmation,Triggered breakout entry,Consumer Staples,242,0.0010786308035930568,0.005296682042800249,0.002479757599656231,0.005333106503465162,0.00658249559205953,0.0075220187010150525,0.5413223140495868,0.5785123966942148,0.5330578512396694
breakout-confirmation,Breakout Confirmation,Triggered breakout entry,Energy,125,0.001212569571661402,0.0011366797228780623,0.0024964726612997385,0.006399745971838201,0.005994085135075571,0.006610148280699283,0.52,0.536,0.544
breakout-confirmation,Breakout Confirmation,Triggered breakout entry,Utilities,81,-0.0024464731927276726,0.0025869012500850117,-0.0012756732211710435,-0.0025107441783601228,-0.00044682239135923277,-0.002767675552877857,0.4691358024691358,0.5432098765432098,0.4691358024691358
breakout-confirmation,Breakout Confirmation,Triggered breakout entry,Real Estate,62,0.0014133164526439058,0.01039436991041801,0.008968669159008994,-0.0002151852340515679,0.005138273562596166,0.002950025905243043,0.5,0.5967741935483871,0.5806451612903226
breakout-confirmation,Breakout Confirmation,Triggered breakout entry,Materials,34,0.004531397288709177,-0.0023709548169719217,-0.0025324274736048093,0.00406555893829447,0.0005967009162416633,-0.0005944249646843572,0.5882352941176471,0.4117647058823529,0.47058823529411764
etf-trend-rotation,ETF Trend / Rotation,Daily trend entry,ETF,239,0.0013723382884697555,0.0043525650769118945,0.004668633439093904,-0.00019493898271116526,6.406474826149752e-05,-0.00034789930160568437,0.5690376569037657,0.5690376569037657,0.5815899581589958
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Daily pullback entry,Information Technology,821,0.004227885779024753,0.006979227594479191,0.012955912292426215,0.0013887072765022767,0.0031951509156472008,0.005799473562616305,0.5322777101096224,0.51278928136419,0.5347137637028014
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Daily pullback entry,Financials,587,0.0044373201777257575,0.004361219983635794,0.0017764132771253287,0.0011482192209280816,-0.0018449335574550463,-0.004001946777375573,0.5638841567291312,0.5621805792163543,0.5383304940374787
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Daily pullback entry,Industrials,515,0.0026650454610345235,0.0072408362951345085,0.010676554104973,0.002585877000694755,0.004504179431192717,0.0071195080909901105,0.5223300970873787,0.5320388349514563,0.541747572815534
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Daily pullback entry,Health Care,506,0.0007671944726435671,-0.002180827395020325,-0.0028283627882732545,-0.0004915419098842183,-0.004764550910563651,-0.006606519324068916,0.5158102766798419,0.48023715415019763,0.45454545454545453
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Daily pullback entry,Communication Services,359,0.002193010006239565,0.006221371285352081,0.013144090085749108,-0.0006317658830158962,0.0008643473687970425,0.004187040678589866,0.5153203342618384,0.5515320334261838,0.5766016713091922
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Daily pullback entry,Consumer Discretionary,322,-0.0005146615314582764,-0.00023265109677980661,0.001910070600151145,-0.0016991008052023434,-0.003433307686343097,-0.002663902513433798,0.5124223602484472,0.5093167701863354,0.5186335403726708
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Daily pullback entry,Consumer Staples,234,-0.0025052526957456507,-0.002911654269319814,-0.0063464887144814046,-0.0038118690422067605,-0.00796725724388845,-0.012619110617409803,0.4658119658119658,0.42735042735042733,0.42735042735042733
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Daily pullback entry,Energy,132,0.0002492835357723566,0.007635394523225546,0.015589025539288233,2.7809045341919463e-05,0.004099762226662729,0.00854454241330077,0.553030303030303,0.5909090909090909,0.6515151515151515
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Daily pullback entry,Utilities,83,0.002330752207769191,-0.0011646594313001358,-0.006084826001879226,-0.0007386650781299495,-0.008417188263619698,-0.01724504477298048,0.6265060240963856,0.5421686746987951,0.43373493975903615
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Daily pullback entry,Real Estate,81,0.006166013411859319,0.0036065254482878085,0.006166931359903039,0.00017514203949328162,-0.005289410164852276,-0.008249274835365014,0.6049382716049383,0.5679012345679012,0.5555555555555556
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Daily pullback entry,Materials,24,-0.0011382485173465028,0.0054888480159682685,0.00458900556048895,0.005111489665002827,0.010611236875752633,0.014785197708244624,0.5416666666666666,0.5,0.4166666666666667
selective-mean-reversion,Selective Mean Reversion,Oversold rebound trigger,Information Technology,87,0.007322583020798971,0.0051234430840791665,0.014544569663842093,0.004458191927046675,0.006734474891142301,0.009833103081445197,0.5402298850574713,0.4827586206896552,0.5057471264367817
selective-mean-reversion,Selective Mean Reversion,Oversold rebound trigger,Industrials,34,0.009940460004902922,0.008014923301430244,0.01650534979277471,0.004504437770216592,0.007999857599698304,0.01849047446606201,0.5588235294117647,0.5294117647058824,0.5
selective-mean-reversion,Selective Mean Reversion,Oversold rebound trigger,Consumer Discretionary,32,-0.005925629204850576,-0.016007863256045838,-0.010950551300549418,-0.007002571155266112,-0.007246256330159368,-0.007028702989465386,0.4375,0.4375,0.375
selective-mean-reversion,Selective Mean Reversion,Oversold rebound trigger,Financials,29,0.008590029364313634,0.005475835750536665,0.02638145879784779,-0.001434579157241131,-0.007008846928680772,0.008294218357486817,0.5862068965517241,0.6551724137931034,0.6551724137931034
selective-mean-reversion,Selective Mean Reversion,Oversold rebound trigger,Health Care,27,-0.011922273369651246,-0.008704889396012994,-0.011968534738461378,-0.00925520093437474,-0.0014672851163308577,0.003455892600936175,0.4074074074074074,0.4444444444444444,0.4074074074074074
selective-mean-reversion,Selective Mean Reversion,Oversold rebound trigger,Communication Services,18,0.0012704923806970785,-0.01980634450081587,-0.0031926761927208447,0.0014004556146710158,-0.010995040895741512,-0.002084876276393514,0.4444444444444444,0.3333333333333333,0.4444444444444444
selective-mean-reversion,Selective Mean Reversion,Oversold rebound trigger,Consumer Staples,8,0.009005447975155456,0.019999043701755426,0.01814550457948648,0.010705711856157984,0.011306652264531813,0.020091136651821814,0.625,0.75,0.625
selective-mean-reversion,Selective Mean Reversion,Oversold rebound trigger,Energy,8,-0.0015925561537313698,-0.005884776816249437,0.01750205011390618,-0.01669121826315101,-0.01988173587552859,-0.010588401066463873,0.375,0.375,0.625
selective-mean-reversion,Selective Mean Reversion,Oversold rebound trigger,Real Estate,5,-0.008686714277680108,-0.023468744104774553,-0.00485819400987939,-0.010825009094097426,-0.0260178114912899,-0.018747967058715308,0.4,0.2,0.4
selective-mean-reversion,Selective Mean Reversion,Oversold rebound trigger,Utilities,4,-0.003461895382575547,-0.004231050829301614,0.014563964106146576,-0.003236632748995355,-0.005922835846465857,0.0029079894394528905,0.25,0.25,0.75
selective-mean-reversion,Selective Mean Reversion,Oversold rebound trigger,Materials,1,0.03201862115604981,0.051256426263257104,0.10893652567468282,0.034284731018398684,0.03949323054794829,0.046199378256637,1.0,1.0,1.0
