strategy_id,strategy_name,signal_style,regime,sample_size,avg_fwd_5d_return,avg_fwd_10d_return,avg_fwd_15d_return,avg_excess_5d_return,avg_excess_10d_return,avg_excess_15d_return,win_rate_5d,win_rate_10d,win_rate_15d
breakout-confirmation,Breakout Confirmation,Triggered breakout entry,Defensive,457,-0.0008494540611581401,-0.002495091658449912,-0.002243486684396263,0.0009033273487925263,-0.002314100184189038,-0.0035907762478919482,0.4682713347921225,0.48358862144420134,0.48358862144420134
breakout-confirmation,Breakout Confirmation,Triggered breakout entry,Neutral,138,0.0037817152607961257,-0.0002586809149693312,0.002953803792498573,0.00023142903402961366,0.0010377799865032152,-0.006376976571028311,0.5869565217391305,0.5579710144927537,0.5797101449275363
breakout-confirmation,Breakout Confirmation,Triggered breakout entry,Risk-on,2143,0.00322962236478792,0.01052983670780522,0.01465816612514476,0.0013794806781441246,0.005642448356363232,0.00849215675438834,0.5361642557162856,0.5734951003266449,0.5823611759216052
breakout-confirmation,Breakout Confirmation,Triggered breakout entry,Selective risk-on,431,0.0031629432430503113,0.004310563638840061,0.007629845895934229,0.0034426732799040516,0.0030096762803141744,0.0024693189317936573,0.5382830626450116,0.5568445475638051,0.5545243619489559
etf-trend-rotation,ETF Trend / Rotation,Daily trend entry,Defensive,47,-0.006883390652015196,-0.004574821384760156,0.001175332737429814,-0.002077361860113448,0.0006118871593299158,0.0020975570893286264,0.5106382978723404,0.44680851063829785,0.48936170212765956
etf-trend-rotation,ETF Trend / Rotation,Daily trend entry,Neutral,18,-0.001558250096150145,0.01306349387036034,0.008769062242087487,-0.0029195657442707074,0.003451090851034005,0.0020605158112718003,0.3888888888888889,0.6111111111111112,0.5
etf-trend-rotation,ETF Trend / Rotation,Daily trend entry,Risk-on,144,0.004740434014606506,0.006757611806798749,0.004934168050656915,0.0012051966456912615,-0.00019892995686687632,-0.001194848689527933,0.6180555555555556,0.6041666666666666,0.6041666666666666
etf-trend-rotation,ETF Trend / Rotation,Daily trend entry,Selective risk-on,30,-0.00010219282612161651,0.0015680222873388106,0.006406647787735705,-0.0023316847675101783,-0.0015640314394596677,-0.0015588063197691348,0.5333333333333333,0.5666666666666667,0.6666666666666666
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Daily pullback entry,Defensive,1511,0.00019071978347049971,0.0014660084031839998,0.004020048758603851,-0.000537927433489811,-0.0023655354727578105,-0.0030732464539540445,0.528127068166777,0.5215089344804765,0.528788881535407
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Daily pullback entry,Neutral,262,-0.002921911671631101,-0.005977895627042917,-0.0008271208530726808,-0.0034868284332178496,-0.008099850055077488,-0.0098806250394943,0.48854961832061067,0.4732824427480916,0.48091603053435117
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Daily pullback entry,Risk-on,1516,0.004816483149550971,0.006439125203846044,0.007983484312801105,0.0015799179896751666,0.0019905988803585605,0.004281418641757269,0.5296833773087071,0.5171503957783641,0.5224274406332454
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Daily pullback entry,Selective risk-on,375,0.004655739267029217,0.008845781228904283,0.010126248670600989,0.0017111296461687843,0.0030319369227010543,0.0014755597130224505,0.5733333333333334,0.5733333333333334,0.528
selective-mean-reversion,Selective Mean Reversion,Oversold rebound trigger,Defensive,148,0.006267063595865529,0.004865661590934403,0.016070587891436144,0.00221160386613901,0.007400747345131898,0.014921649458750783,0.5608108108108109,0.5,0.5135135135135135
selective-mean-reversion,Selective Mean Reversion,Oversold rebound trigger,Neutral,8,0.013020683052979085,0.03426374784562676,0.03919549301678102,0.011096560359550964,0.032919836798859306,0.04770095184016322,0.5,0.625,0.5
selective-mean-reversion,Selective Mean Reversion,Oversold rebound trigger,Risk-on,78,-0.0011793476727795843,-0.011611237969280147,-0.006938197334584961,-0.004795944415362893,-0.01685833327141988,-0.013531195636566365,0.41025641025641024,0.44871794871794873,0.44871794871794873
selective-mean-reversion,Selective Mean Reversion,Oversold rebound trigger,Selective risk-on,19,-0.00895592597201753,-0.015021071614981726,0.0072545156552114316,-0.003791094853832257,-0.002177729964420175,0.0032150618066184053,0.47368421052631576,0.47368421052631576,0.631578947368421
